,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,278,123,84,207,288,158,246,573,1123,-140,-76,0,0,-84,-300,-79,-15,-94,-119,-119,-149,15,-347,528,19,-149
2022-09-30,1332,102,-821,-719,50,-57,45,139,790,-91,-434,0,0,-75,-600,342,-103,239,-247,-247,-127,-15,-150,-34,17,-127
2022-06-30,587,76,-149,-73,-276,-45,-65,-439,32,-66,-20,0,0,-89,-175,3,11,14,-280,-280,-150,2,-414,-579,20,-150
2022-03-31,1387.00000,79.00000,-1126.00000,-1047.00000,-207.00000,-390.00000,-160.00000,-625.00000,-202.00000,-56.00000,2926.00000,,,-50.00000,2820.00000,-1109.00000,-33.00000,-1142.00000,-734.00000,-734.00000,-129.00000,-15.00000,-2020.00000,579.00000,21.00000,-129.00000
2021-12-31,332,87,-59,28,193,-64,18,480,913,-138,-155,7,7,20,-266,6,30,36,-252,-252,-114,-7,-337,323,32,-114
2021-09-30,480,83,1,84,-2,-134,-19,-27,579,-74,-45,0,0,-6,-125,-39,-4,-43,-145,-145,-106,-33,-327,40,20,-106
2021-06-30,497,85,-1,84,-205,38,-1,49,561,-79,-160,0,0,-13,-252,-12,-41,-53,-94,-94,-130,22,-255,65,21,-130
2021-03-31,392.00000,83.00000,-9.00000,74.00000,-83.00000,-248.00000,-52.00000,-232.00000,184.00000,-53.00000,-6.00000,,,10.00000,-49.00000,-519.00000,28.00000,-491.00000,-36.00000,-36.00000,-109.00000,-7.00000,-643.00000,-521.00000,19.00000,-109.00000
2020-12-31,887,95,-852,-757,166,-3,52,-77,199,-161,0,1077,1077,-40,876,-1765,-1,-1766,0,0,-99,11,-1854,-734,21,-99
2020-09-30,748,82,-268,-186,-144,88,45,366,937,-57,0,300,300,90,333,-60,-5,-65,0,0,-79,2,-142,1145,21,-79
2020-06-30,269,78,5,83,46,-61,-75,86,509,-46,0,0,0,71,25,771,27,798,0,0,0,593,1391,1936,22,0
2020-03-31,102.00000,81.00000,200.00000,281.00000,-19.00000,-264.00000,-23.00000,-330.00000,47.00000,-48.00000,,,,-80.00000,-128.00000,10927.00000,-44.00000,10883.00000,,,-8.00000,-10951.00000,-76.00000,-185.00000,13.00000,-8.00000
2019-12-31,454,84,39,163,76,267,70,255,1013,-104,6,6,0,35,-63,-39,-18,-82,0,0,-24,-791,-872,91,12,-24
2019-09-30,504,84,30,114,1,71,31,78,618,-50,-1,0,0,-19,-70,-32,-2,-34,0,0,-1,-568,-603,-74,18,-1
2019-06-30,794,82,-97,-15,-58,-110,-32,-146,554,-48,0,0,0,11,-37,-11,39,28,0,0,-1,-462,-435,73,14,-1
2019-03-31,403.00000,85.00000,-12.00000,73.00000,-148.00000,-230.00000,-38.00000,-643.00000,-183.00000,-41.00000,1.00000,,,-3.00000,-43.00000,51.00000,6.00000,57.00000,,,-2.00000,-112.00000,-57.00000,-267.00000,8.00000,-2.00000
2018-12-31,1502,-15,0,-15,0,0,0,-553,-43,63,846,0,-596,-169,144,0,11,121,0,286,-15,-837,-434,-436,0,0
2017-12-31,1267,372,0,372,0,0,0,184,2098,-326,-124,0,596,125,271,0,-8,-4,0,-286,-31,-1864,-2193,240,0,0
