,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,487.00000,209.00000,172.00000,381.00000,244.00000,218.00000,-1712.00000,142.00000,-888.00000,-16.00000,-192.00000,,1.00000,-4.00000,-3.00000,-240.00000,-435.00000,-487.00000,200.00000,-287.00000,-100.00000,-100.00000,-259.00000,-279.00000,-925.00000,-1376.00000,167.00000,-259.00000
2022-10-31,-2,209,667,876,184,803,-437,329,916,1904,-144,-2731,1,-2,-1,0,-2876,-463,0,-463,-750,-750,-249,193,-1269,-2241,70,-249
2022-07-31,1119,181,135,316,985,700,-1472,-1214,-1098,394,-170,0,1,-42,-41,0,-211,1981,0,1981,-1029,-1029,-255,29,726,909,70,-255
2022-04-30,1000,193,142,335,-246,7,-1054,365,-945,508,-178,-3,7,-8,-1,0,-182,1975,0,1975,-1010,-1010,-262,54,757,1083,70,-262
2022-01-31,1086.00000,197.00000,206.00000,403.00000,337.00000,-1277.00000,2035.00000,-1107.00000,-18.00000,1657.00000,-273.00000,-21.00000,0.00000,,,14.00000,-280.00000,-11.00000,-400.00000,-411.00000,-1508.00000,-1508.00000,-271.00000,-92.00000,-2282.00000,-905.00000,133.00000,-271.00000
2021-10-31,3099,200,-450,-250,-583,61,117,173,-187,2848,-172,-272,21,-4,17,27,-400,-6,400,394,-1754,-1754,-219,-9,-1588,860,70,-219
2021-07-31,1108,196,-18,178,168,-670,625,-587,-346,1093,-158,-412,9,-11,-2,275,-297,948,0,948,-1507,-1507,-230,8,-781,15,69,-230
2021-04-30,1228,186,98,284,258,-830,235,401,-105,1446,-121,-170,0,-12,-12,-9,-312,-18,-6,-24,-1610,-1610,-239,3,-1870,-736,76,-239
2021-01-31,1068.00000,203.00000,303.00000,506.00000,77.00000,-725.00000,280.00000,-316.00000,-614.00000,1022.00000,-131.00000,,274.00000,-1.00000,273.00000,-145.00000,-3.00000,-48.00000,6.00000,-42.00000,-1378.00000,-1378.00000,-250.00000,-53.00000,-1723.00000,-704.00000,115.00000,-250.00000
2020-10-31,668,196,226,422,-124,-139,398,514,740,1874,-116,0,114,-160,-46,77,-85,-4,-19,-23,-1340,-1340,-238,-3,-1604,185,57,-238
