,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,22,105,151,256,14,-271,-222,9,-720,0,394,394,-4,-330,-52,-52,0,0,0,23,-29,-350,9,0
2022-09-30,40,104,182,286,56,-271,-215,174,-315,0,148,148,0,-167,-94,-94,0,0,0,4,-90,-83,13,0
2022-06-30,139,104,205,309,-3,144,401,948,-344,0,-415,-415,-1,-760,-69,-69,0,0,0,31,-38,150,15,0
2022-03-31,-143.00000,102.00000,22.00000,124.00000,-112.00000,554.00000,442.00000,287.00000,-288.00000,,328.00000,328.00000,-1.00000,39.00000,-170.00000,-170.00000,,,,2.00000,-168.00000,158.00000,5.00000,
2021-12-31,18,100,21,121,-13,-54,-64,129,-100,0,38,38,-3,-65,-112,-112,0,0,0,23,-89,-25,16,0
2021-09-30,194,99,64,163,30,-404,-374,-106,-88,0,219,219,-4,127,-541,-541,0,0,0,-3,-544,-523,11,0
2021-06-30,397,98,57,155,-49,257,208,840,-75,0,-452,-452,0,-527,-392,-392,0,0,0,29,-363,-50,12,0
2021-03-31,-131.00000,97.00000,2.00000,99.00000,-37.00000,272.00000,235.00000,167.00000,-27.00000,,-511.00000,-511.00000,-5.00000,-543.00000,74.00000,74.00000,,,,8.00000,82.00000,-294.00000,12.00000,
2020-12-31,-447,100,105,205,-168,97,-63,-350,261,0,-72,-72,-15,174,-344,-344,0,0,0,39,-305,-481,10,0
2020-09-30,-431,105,328,433,0,49,49,-205,-36,0,-606,-606,-1,-643,1203,1203,0,0,0,-8,1195,347,7,0
2020-06-30,-214,107,13,120,0,72,72,288,-49,0,50,50,2,3,375,375,0,0,0,32,407,698,-2,0
2020-03-31,-232.00000,108.00000,125.00000,233.00000,,243.00000,243.00000,33.00000,-119.00000,,-16.00000,-16.00000,8.00000,-127.00000,765.00000,765.00000,-31.00000,-31.00000,-45.00000,-5.00000,684.00000,590.00000,9.00000,-45.00000
2019-12-31,181,106,31,137,43,-113,-70,341,-141,0,82,82,-24,-83,-835,-835,677,677,-120,3,-275,-17,9,-120
2019-09-30,322,106,129,235,0,-184,-184,348,-194,0,4,4,12,-178,759,759,-981,-981,33,14,-175,-5,4,33
2019-06-30,262,105,65,170,0,91,91,565,-218,0,-146,-146,20,-344,-393,-393,242,242,-43,2,-192,29,5,-43
2019-03-31,4.00000,106.00000,13.00000,119.00000,,369.00000,369.00000,468.00000,-115.00000,,-76.00000,-76.00000,5.00000,-186.00000,-139.00000,-139.00000,-13.00000,-13.00000,-43.00000,24.00000,-171.00000,111.00000,11.00000,-43.00000
2018-12-31,23,108,37,145,-25,-119,-144,209,-390,0,97,97,-5,-298,76,76,-13,-13,-40,-4,19,-70,13,-40
2018-09-30,217,99,72,171,0,-108,-108,260,-131,0,240,240,26,135,-286,-286,-12,-12,-39,18,-319,76,17,-39
2018-06-30,193,97,74,171,0,16,16,420,-188,0,-118,-118,2,-304,-138,-138,-12,-12,-39,-2,-191,-75,9,-39
2018-03-31,4.00000,94.00000,10.00000,104.00000,,342.00000,342.00000,306.00000,-235.00000,,63.00000,63.00000,8.00000,-164.00000,-120.00000,-120.00000,-13.00000,-13.00000,-40.00000,17.00000,-156.00000,-14.00000,8.00000,-40.00000
2017-12-31,315,97,-151,-54,-39,-115,-154,233,-107,0,158,158,-38,13,-132,-132,-25,-25,-37,1,-193,53,12,-37
2017-09-30,259,95,99,194,0,-13,-13,273,-329,0,130,130,28,-171,-106,-106,-28,-28,-37,15,-156,-54,18,-37
2017-06-30,293,90,95,185,0,-29,-29,614,-296,0,-197,-197,10,-483,-58,-58,-22,-22,-37,1,-116,15,12,-37
2017-03-31,93.00000,90.00000,57.00000,147.00000,,395.00000,395.00000,470.00000,-216.00000,,-272.00000,-272.00000,,-488.00000,-101.00000,-101.00000,,,-37.00000,11.00000,-127.00000,-145.00000,13.00000,-37.00000
2016-12-31,97,82,42,124,-46,3,-43,180,-164,-1951,139,139,-5,-1981,342,342,0,0,-34,3,311,-1490,7,-34
2016-09-30,256,101,12,113,0,-73,-73,307,-172,0,116,116,5,-51,1510,1510,0,0,-34,5,1481,1737,6,-34
2016-06-30,260,92,53,145,0,14,14,374,-218,0,-35,-35,-1,-254,-21,-21,-66,-66,-34,4,-117,3,4,-34
2016-03-31,184.00000,88.00000,1.00000,89.00000,,235.00000,235.00000,525.00000,-119.00000,,-218.00000,-218.00000,1.00000,-336.00000,-36.00000,-36.00000,-127.00000,-127.00000,-34.00000,13.00000,-184.00000,5.00000,9.00000,-34.00000
2015-12-31,191,84,76,160,47,-40,7,355,-109,0,-94,-94,0,-203,-23,-23,-124,-124,-24,4,-167,-15,3,-24
2015-09-30,274,81,35,116,0,-65,-65,340,-110,0,-23,-23,0,-133,-35,-35,-119,-119,-26,16,-164,43,8,-26
2015-06-30,234,79,-33,46,0,45,45,375,-282,0,109,109,0,-173,-23,-23,-160,-160,-26,1,-208,-6,5,-26
2015-03-31,149.00000,76.00000,3.00000,79.00000,,191.00000,191.00000,514.00000,-277.00000,,-144.00000,-144.00000,,-421.00000,-35.00000,-35.00000,-102.00000,-102.00000,-26.00000,14.00000,-149.00000,-56.00000,9.00000,-26.00000
2014-12-31,148,76,66,142,-110,-71,-181,138,-131,0,198,198,10,77,-22,-22,-106,-106,-17,3,-142,73,-21,-17
2014-09-30,198,75,19,94,0,-90,-90,257,-211,0,175,175,0,-36,-33,-33,-159,-159,-17,0,-209,12,6,-17
2014-06-30,165,73,22,95,0,66,66,393,-266,0,-152,-152,0,-418,24,24,-53,-53,-17,3,-43,-68,17,-17
2014-03-31,94.00000,70.00000,13.00000,83.00000,,184.00000,184.00000,242.00000,-86.00000,,-78.00000,-78.00000,,-164.00000,-37.00000,-37.00000,-30.00000,-30.00000,-17.00000,16.00000,-68.00000,10.00000,4.00000,-17.00000
2013-12-31,78,67,-161,-94,-19,142,123,159,-171,0,153,153,0,-18,-22,-22,-76,-76,-14,10,-102,39,6,-14
2013-09-30,289,67,114,181,0,-256,-256,230,-141,0,-27,-27,0,-168,-30,-30,-32,-32,-14,-2,-78,-16,9,-14
2013-06-30,104,67,1,68,0,47,47,380,-147,0,-214,-214,0,-361,-21,-21,-32,-32,0,-4,-57,-38,3,0
2013-03-31,37.00000,69.00000,32.00000,101.00000,,155.00000,155.00000,212.00000,-110.00000,,-41.00000,-41.00000,,-151.00000,-88.00000,-88.00000,-19.00000,-19.00000,,19.00000,-88.00000,-27.00000,14.00000,
2012-12-31,44,69,-5,64,9,-100,-91,115,-168,0,28,28,9,-131,-35,-35,-8,-8,0,154,111,95,2,0
2012-09-30,163,66,45,111,0,-97,-97,183,-85,0,-3,-3,-15,-103,-75,-75,-26,-26,0,13,-88,-8,2,0
2012-06-30,68,65,33,98,0,78,78,272,-157,0,-55,-55,-26,-238,-106,-106,-17,-17,0,76,-47,-13,1,0
2012-03-31,41.00000,64.00000,31.00000,95.00000,,154.00000,154.00000,183.00000,-97.00000,,-52.00000,-52.00000,-24.00000,-173.00000,-59.00000,-59.00000,-9.00000,-9.00000,,4.00000,-64.00000,-54.00000,5.00000,
2011-12-31,64.5,23.9,50.6,74.5,0,-138.2,-138.2,87.2,-92.3,0,156.5,156.5,-28.6,35.6,-85.2,-85.2,-18.4,-18.4,0,14.8,-88.8,34,7.5,0
2011-09-30,77.5,101.1,9.4,110.5,0,9.3,9.3,240.1,-45.1,0,-115.8,-115.8,-35.8,-196.7,-16.4,-16.4,-43.2,-43.2,0,16.7,-42.9,0.5,2.2,0
2011-06-30,28.8,61.7,42,103.7,0,118.2,118.2,249.9,-62.4,0,-101.1,-101.1,-44.6,-208.1,-36.2,-36.2,7.9,7.9,0,-6.7,-35,6.8,0.6,0
2011-03-31,74.20000,60.30000,60.00000,120.30000,,43.70000,43.70000,118.80000,-166.20000,,132.40000,132.40000,,-33.80000,-89.20000,-89.20000,-26.30000,-26.30000,,1.20000,-114.30000,-29.30000,6.70000,
2010-12-31,64.7,44.8,156.4,201.2,0,-236.3,-236.3,46.6,-25.8,0,59.1,59.1,-29.3,4,-89.7,-89.7,-13.8,-13.8,0,13.9,-89.6,-39,-1.6,0
2010-09-30,122.4,71,-1.5,69.5,0,-19.1,-19.1,172.8,-40.7,0,-18.2,-18.2,-0.2,-59.1,-100.4,-100.4,-25.9,-25.9,0,33.7,-92.6,21.1,1.9,0
2010-06-30,58.6,58,7.1,65.1,0,155.4,155.4,279.1,-84,0,-108.9,-108.9,0.9,-192,-91.1,-91.1,5.2,5.2,0,-10.8,-96.7,-9.6,3.7,0
2010-03-31,5.30000,56.20000,5.00000,61.20000,,-12.00000,-12.00000,54.50000,-24.50000,,-23.00000,-23.00000,-0.40000,-47.90000,-39.80000,-39.80000,-10.50000,-10.50000,,-2.80000,-53.10000,-46.50000,5.00000,
