,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-5.2,26.2,26.9,53.1,-23.3,14.3,-6.1,41.8,-29.6,0,-17.9,-17.9,0,-47.5,-2.1,-2.1,15.8,15.8,-170.3,-156.6,-162.3,31.3
2022-09-30,-21,22.9,42,64.9,-6.9,-0.5,8.2,52.1,-22.7,0,-20,-20,0,-42.7,-1985.5,-1985.5,9.3,9.3,1010.4,-965.8,-959.6,39.2
2022-06-30,-19.8,22.6,42.7,65.3,-10.3,1.3,-12.3,33.2,-22.3,0,-45.3,-45.3,0,-67.6,1981.3,1981.3,7.3,7.3,-3879.8,-1891.2,-1932.2,38.8
2022-03-31,-27.40000,21.90000,42.90000,64.80000,1.00000,-25.00000,-31.90000,5.50000,-19.90000,,-164.80000,-164.80000,,-184.70000,-2.10000,-2.10000,6.00000,6.00000,3879.80000,3883.70000,3706.20000,35.50000
2021-12-31,-9.5,23.6,23.5,47.1,-29.5,4.9,-37.7,-0.1,19.9,-36,-184.5,-184.5,0,-200.6,-3.5,-3.5,-171.2,-171.2,-1632.2,-1806.9,-2028,29.8
2021-09-30,-20.9,26.3,17.4,43.7,-1.6,7.7,3,25.8,-14.4,0.1,-86.7,-86.7,0,-101,564.5,564.5,36.5,36.5,1631,2232,2149.6,29.4
2021-06-30,-25.8,28.4,2.8,31.2,4.4,-1.6,22.2,27.6,-16,-35.3,46.5,46.5,0,-4.8,-567.5,-567.5,23.1,23.1,-513.2,-1057.6,-1031.5,31.4
2021-03-31,-19.20000,16.10000,27.10000,43.20000,-8.10000,-26.90000,-28.50000,-4.50000,-15.30000,-338.30000,-51.10000,-51.10000,,-404.70000,515.50000,515.50000,11.30000,11.30000,513.20000,1040.00000,634.20000,22.80000
2020-12-31,-17.3,15.2,32.5,47.7,-9.5,-114,-107.9,-77.5,-15.6,0,-121.9,-121.9,0,-137.5,-297.1,-297.1,505.1,505.1,601.4,809.4,598.3,19.5
2020-09-30,-0.8,13.3,18.7,32,1.3,6.1,-7.8,23.4,-14.5,0,89.6,89.6,0,75.1,-2.5,-2.5,18.7,18.7,-30,-13.8,89.2,18.5
