,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,318,46,4,50,-138,15,135,2,96,464,-34,-8,0,0,-53,-95,0,33,33,-150,-150,-131,-2,-250,153,26,-131
2022-09-30,350,48,13,61,-67,-41,2,-40,-172,239,-24,51,0,0,45,72,0,23,23,-300,-300,-187,-1,-465,-223,13,-187
2022-06-30,348,49,4,53,-53,-25,171,-179,-48,353,-27,-20,0,0,54,7,0,31,31,-2002,-2002,-130,-13,-2114,-1813,15,-130
2022-03-31,353.00000,48.00000,30.00000,78.00000,-51.00000,-14.00000,-36.00000,352.00000,73.00000,504.00000,-30.00000,-8.00000,-7.00000,-7.00000,28.00000,-17.00000,-500.00000,26.00000,-474.00000,-200.00000,-200.00000,-135.00000,-14.00000,-823.00000,-399.00000,13.00000,-135.00000
2021-12-31,310,51,-3,48,-45,-4,-100,-33,-81,277,-41,-21,0,0,42,-20,1831,-10,1821,0,0,-127,-15,1679,1904,17,-127
2021-09-30,379,50,-16,34,-53,35,106,-140,-58,355,-31,-8,0,0,37,-2,-76,-224,-300,-219,-219,-177,-9,-705,-371,17,-177
2021-06-30,379,51,6,57,-40,22,95,-117,97,533,-40,-27,58,58,-8,-17,-177,174,-3,-206,-206,-125,-8,-342,199,17,-125
2021-03-31,352.00000,51.00000,-14.00000,37.00000,-14.00000,-39.00000,29.00000,380.00000,196.00000,585.00000,-44.00000,-24.00000,-18.00000,-18.00000,36.00000,-50.00000,101.00000,-244.00000,-143.00000,-300.00000,-300.00000,-119.00000,-12.00000,-574.00000,-56.00000,14.00000,-119.00000
2020-12-31,279,51,35,86,-84,25,1,-65,-56,309,-71,-3,0,0,10,-64,-250,137,-113,0,0,-111,-31,-255,49,19,-111
2020-09-30,310,48,-13,35,-20,-30,2,194,3,348,-37,-34,0,0,-76,-147,-750,509,-241,0,0,-168,0,-409,-175,17,-168
2020-06-30,265,49,-21,28,57,-22,233,-32,371,664,-36,-11,0,0,-3,-50,0,-35,-35,0,0,-109,220,76,707,16,-109
2020-03-31,202.00000,43.00000,82.00000,125.00000,-116.00000,-49.00000,-216.00000,286.00000,-168.00000,159.00000,-39.00000,-5.00000,-51.00000,-51.00000,3.00000,-92.00000,6300.00000,36.00000,6336.00000,,,-21.00000,-6571.00000,-256.00000,-239.00000,11.00000,-21.00000
2019-12-31,254,45,38,28,-38,29,48,18,117,454,-47,-8,0,0,2,-53,0,-12,-18,0,0,-31,-396,-439,-17,8,-31
2019-09-30,361,44,-13,31,-59,7,-42,4,-28,364,-35,-7,0,0,-16,-58,0,2,2,0,0,-77,-266,-341,-80,13,-77
2019-06-30,352,46,25,71,-38,17,0,-201,-69,354,-35,-13,0,0,-26,-74,0,1,1,0,0,-25,-17,-41,223,9,-25
2019-03-31,300.00000,45.00000,5.00000,50.00000,-56.00000,7.00000,,305.00000,-53.00000,297.00000,-28.00000,-19.00000,,,29.00000,-18.00000,,15.00000,15.00000,,,-30.00000,-297.00000,-312.00000,-13.00000,7.00000,-30.00000
2018-12-31,1210,190,0,190,0,0,0,0,-15,1550,-172,-50,0,0,21,-201,0,11,0,0,0,-173,-1335,-1497,-225,0,0
