,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,95,35.3,37.2,72.5,6.1,-16.4,-20.2,-9,-74.7,92.8,-20.9,11.9,70.1,61.1,-131.6,0,-131.6,1.3,1.3,-34.5,12,-152.8,-9.9,39.2,-34.5
2022-09-30,115.4,33.2,-12.9,20.3,-7.1,-26.5,-26.7,19.8,-40.5,95.2,-23,-1591.4,9.1,-1614.1,1539.3,0,1539.3,1.4,1.4,-34.6,-6.8,1499.3,-16.3,8.2,-34.6
2022-06-30,152.9,24.9,-8.7,16.2,147.5,-49,-20.4,59.6,137.7,306.8,-19.5,0,0,-10.7,-179.8,0,-179.8,-50.1,-50.1,-34.8,-2.9,-267.6,32.8,8.1,-34.8
2022-03-31,117.60000,22.20000,-33.90000,-11.70000,-116.10000,-95.10000,10.40000,-36.60000,-237.40000,-131.50000,-17.70000,-1.40000,,-19.10000,199.60000,,199.60000,-5.30000,-5.30000,-34.70000,-5.80000,153.80000,7.80000,-30.60000,-34.70000
2021-12-31,148.7,19.8,-8.3,11.5,-63.8,-45.3,34.9,-12.9,-87.1,73.1,-21.4,-254.9,0,-276.3,195.5,0,195.5,-40.5,-40.5,-33.1,-2.3,119.6,-78.7,2.8,-33.1
2021-09-30,143.6,18.8,23.7,42.5,-28.4,-44.2,28,37.8,-6.8,179.3,-14.1,0.6,0,-13.5,-16.1,0,-16.1,-41.3,-41.3,-33.2,0,-90.6,77.3,25.5,-33.2
2021-06-30,132.1,19.1,34.8,53.9,152.6,-19.4,-3.5,64.1,193.8,379.8,-11,-82.8,2.7,-91.1,-216.2,0,-216.2,-36.2,-36.2,-33.4,0,-285.8,0.9,35.2,-33.4
2021-03-31,128.60000,19.80000,-9.90000,9.90000,-202.40000,-12.50000,54.80000,2.60000,-157.50000,-19.00000,-9.80000,,,-9.80000,92.40000,,92.40000,-9.80000,-9.80000,-33.30000,-14.70000,34.60000,12.90000,-9.20000,-33.30000
2020-12-31,103,19.2,11.8,31,1,-11.4,-35.2,-15.1,-60.7,73.3,-17.8,-29.5,0,-47.3,33.8,0,33.8,-23.2,-23.2,-31.7,0,-21.1,-0.5,12.6,-31.7
2020-09-30,110.8,18.5,26.7,45.2,44.2,0,17.5,16.6,78.3,234.3,-13.9,0,2.2,-11.7,-208.2,0,-208.2,13.8,13.8,-31.7,0,-226.1,-8,32.3,-31.7
2020-06-30,72.1,18.2,12.4,30.6,270.2,2.4,-14.3,67.4,325.7,428.4,-11.8,-21.3,0,-33.1,-438,0,-438,2.1,2.1,-31.6,0,-467.5,-78.7,12.5,-31.6
2020-03-31,72.70000,19.20000,19.90000,39.10000,-167.10000,-20.10000,-49.90000,-37.10000,-274.20000,-162.40000,-18.60000,-7.20000,,-25.80000,420.90000,,420.90000,-110.00000,-110.00000,-32.10000,,278.80000,86.80000,5.40000,-32.10000
2019-12-31,97.8,19.5,27.2,46.7,-100.3,9.6,65.2,-30.7,-56.2,88.3,-13.7,11.3,0,-2.4,-89.7,0,-89.7,5.7,5.7,-30.3,-0.6,-114.9,-30.7,6.1,-30.3
