,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,697,520,362,882,-61,-34,-333,26,-360,1219,-817,0,-26,-26,3,-840,-854,345,-509,1,1,-581,3,-1086,-707,0,-581
2022-09-30,621,522,138,660,125,-77,53,-83,209,1490,-849,0,-40,-40,6,-883,1740,-1037,703,5,5,-564,-25,119,726,0,-564
2022-06-30,407,521,255,776,-794,-177,828,-67,-85,1098,-320,-933,-44,-44,5,-1292,-754,1037,283,11,11,-575,4,-277,-471,0,-575
2022-03-31,392.00000,519.00000,314.00000,833.00000,-3.00000,178.00000,-138.00000,-31.00000,-143.00000,1082.00000,-297.00000,,-56.00000,-56.00000,-7.00000,-360.00000,-1253.00000,,-1253.00000,37.00000,37.00000,-555.00000,-27.00000,-1798.00000,-1076.00000,,-555.00000
2021-12-31,632,475,3,478,-7,-27,73,-1,29,1139,-295,-25,-36,-36,-1,-357,1250,0,1250,3,3,-550,-19,684,1466,0,-550
2021-09-30,173,508,432,940,-488,-54,476,-266,-279,834,-262,-126,-35,-35,15,-408,-876,0,-876,3,3,-538,-2,-1413,-987,0,-538
2021-06-30,322,482,160,642,9,-50,56,-52,93,1057,-429,0,-30,-30,16,-443,-5,0,-5,0,0,-539,5,-539,75,0,-539
2021-03-31,435.00000,458.00000,189.00000,647.00000,-59.00000,-8.00000,38.00000,-22.00000,-167.00000,915.00000,-261.00000,,-14.00000,-14.00000,18.00000,-257.00000,892.00000,,892.00000,3.00000,3.00000,-552.00000,-17.00000,326.00000,984.00000,,-552.00000
2020-12-31,130,449,458,907,16,5,70,9,77,1114,-307,0,-175,-175,6,-476,-4,-40,-44,0,0,-523,1,-566,72,0,-523
2020-09-30,323,441,148,589,-103,-24,-313,30,-460,452,-339,0,-84,-84,11,-412,-608,40,-568,3,3,-534,-4,-1103,-1063,0,-534
