,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-818.2,-339.5,-43,-382.5,41.6,92.8,-8.9,20.1,125.8,-1074.9,575.3,0,2.7,2.7,3.9,581.9,1.3,1.3,142,142,304.4,15.3,463,-30,-28.7,304.4
2022-09-30,262.5,114.5,-21.4,93.1,99.3,-41.1,-16.2,7.2,75,430.6,-178.2,0,-2.4,-2.4,-3.2,-183.8,-0.4,-0.4,-142,-142,-117.2,-5.8,-265.4,-18.6,7.1,-117.2
2022-06-30,301.5,114.8,21.8,136.6,-71.3,-12.9,-38.5,2.8,-119.1,319,-184.1,0,5.5,5.5,1.7,-176.9,-0.5,-0.5,0,0,-93.6,-9.3,-103.4,38.7,9.3,-93.6
2022-03-31,254.20000,110.20000,42.60000,152.80000,-69.60000,-38.80000,63.60000,-30.10000,-81.70000,325.30000,-213.00000,,-5.80000,-5.80000,-2.40000,-221.20000,-0.40000,-0.40000,,,-93.60000,-0.20000,-94.20000,9.90000,12.30000,-93.60000
2021-12-31,216.5,108.8,84.1,192.9,7.1,-13.2,-10.1,9.1,-18.7,390.7,-233.6,-194.9,-0.9,-0.9,0,-429.4,-762.6,-762.6,-193,-193,-95,5.1,-1045.5,-1084.2,8.6,-95
2021-09-30,250.8,106.3,-9.3,97,-85.3,-52.9,25,22.9,-64.2,283.6,-149.5,0,4.9,4.9,-0.2,-144.8,695.9,695.9,0,0,-95,-9,591.9,730.7,6.8,-95
2021-06-30,207.3,105.3,12.9,118.2,-72.8,-27.7,9.6,-15.7,-97.3,228.2,-129.7,0,-2.7,-2.7,-0.3,-132.7,-0.4,-0.4,0,0,-95,-11.3,-106.7,-11.2,8.5,-95
2021-03-31,166.50000,101.50000,30.80000,132.30000,-76.20000,-11.70000,-12.30000,-19.00000,-107.20000,191.60000,-84.40000,,-1.80000,-1.80000,-1.30000,-87.50000,-0.40000,-0.40000,,,-94.80000,-0.10000,-95.30000,8.80000,11.60000,-94.80000
2020-12-31,123.6,101.6,26.6,128.1999,32.2,-10.2,45.9,6,19.3,271.1,-167.5,0,-2.5,-2.5,-0.2,-170.2,-0.4,-0.4,0,0,-75,0,-75.4,25.5,6.2,-75
2020-09-30,139.1,101.1,-52.6,48.5,-47.3,56.9,31.6,9.3,110.6,298.2,-102.2,0,-23.8,-23.8,-1.1,-127.1,-0.3,-0.3,0,0,-74.9,-0.1,-75.3,95.8,6,-74.9
2020-06-30,56.6,164.1,22.2,186.3,62.3,-24.7,-66.3,8.1,-16.1,226.8,-76.5,0,27.1,27.1,-2.4,-51.8,-0.4,-0.4,0,0,-74.9,-10.4,-85.7,89.3,7.7,-74.9
2020-03-31,141.70000,100.90000,30.10000,131.00000,-34.00000,-15.70000,28.50000,-23.00000,-36.00000,236.70000,-70.40000,,-3.90000,-3.90000,-2.70000,-77.00000,-0.40000,-0.40000,,,-74.80000,,-75.20000,84.50000,10.10000,-74.80000
2019-12-31,136.2,115.8,42.1,157.9,86.7,12.2,-30.1,-1.3,35.1,329.2,-133,0,-146.1,-146.1,0.8,-278.3,-33.3,-33.3,0,0,-74.8,-1.6,-109.7,-58.8,5.9,-74.8
2019-09-30,179.8,100.1,-18.7,81.4,14.6,9.3,-0.5,15.6,78.6,339.8,-92.7,0,0,0,-2.8,-95.5,-0.4,-0.4,0,0,-74.6,-0.4,-75.4,168.9,5.9,-74.6
2019-06-30,193.6,98,30.2,128.2,-16.5,16,-15,-1.5,-19.4,302.4,-90.9,0,0,0,-1.8,-92.7,-0.4,-0.4,0,0,-74.6,-7.7,-82.7,127,11.7,-74.6
