,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1198,735,-107,628,-390,-759,1741,-319,273,2099,-345,-3,-131,-131,-137,-616,-500,-8,-508,-1661,-1661,-334,-133,-2636,-1141,-334
2022-09-30,2778,726,-1787,-1061,619,-237,603,581,1566,3283,-338,4895,-100,-100,-11,4446,0,-1807,-1807,-3400,-3400,-341,31,-5517,2194,-341
2022-06-30,1572,759,66,825,-1964,-281,1030,62,-1153,1244,-324,0,-68,-68,-16,-408,0,219,219,-882,-882,-352,99,-916,-137,-352
2022-03-31,1198.00000,717.00000,181.00000,898.00000,-540.00000,222.00000,-40.00000,292.00000,-66.00000,2030.00000,-288.00000,-57.00000,27.00000,27.00000,-6.00000,-324.00000,,-463.00000,-463.00000,-1275.00000,-1275.00000,-357.00000,-76.00000,-2171.00000,-488.00000,-357.00000
2021-12-31,1133,743,-184,559,821,-702,1938,526,2583,4275,-304,3,378,378,46,123,0,-658,-658,-1396,-1396,-324,7,-2371,2008,-324
2021-09-30,1635,734,-92,642,-671,21,466,26,-158,2119,-350,-61,-291,-291,-8,-710,0,1161,1161,-2600,-2600,-330,41,-1728,-338,-330
2021-06-30,1476,731,-94,637,-2269,-123,-298,281,-2409,-296,-258,-1836,-272,-272,59,-2307,-391,1502,1111,-830,-830,-342,-1,-62,-2666,-342
2021-03-31,1171.00000,715.00000,95.00000,810.00000,-1380.00000,247.00000,-222.00000,467.00000,-888.00000,1093.00000,-242.00000,,-475.00000,-475.00000,,-717.00000,-63.00000,-1030.00000,-1093.00000,-2590.00000,-2590.00000,-345.00000,-23.00000,-4051.00000,-3701.00000,-345.00000
2020-12-31,4142,713,-4416,-3703,1705,-509,2185,474,3855,4294,-319,5588,-835,-835,-14,4420,-2550,-532,-3082,-1553,-1553,0,-86,-4721,4041,0
2020-09-30,1398,702,-113,589,-1185,55,-233,271,-1092,895,-252,-135,-551,-551,0,-938,-701,147,-554,-1018,-1018,0,-110,-1682,-1717,0
2020-06-30,1760,694,-122,572,-827,-146,1569,346,942,3274,-256,0,19,19,0,-237,-614,625,11,-292,-292,-15,-16,-312,2747,-15
2020-03-31,1189.00000,693.00000,112.00000,805.00000,-1266.00000,96.00000,716.00000,347.00000,-107.00000,1887.00000,-267.00000,,-39.00000,-39.00000,37.00000,-269.00000,-931.00000,-180.00000,-1111.00000,-803.00000,-803.00000,,96.00000,-1818.00000,-237.00000,
2019-12-31,984,927,-4,923,181,-512,918,299,886,2793,-310,-147,190,190,-4,-271,-1154,-202,-1356,-324,-324,-15,-12,-1707,834,-15
2019-09-30,1354,913,-210,703,171,137,-110,206,404,2461,-243,0,-60,-60,-1,-304,-600,142,-458,-643,-643,0,-72,-1173,967,0
2019-06-30,1410,914,-102,812,-1070,84,-192,-5,-1183,1039,-303,0,-325,-325,-6,-634,-1740,427,-1313,-387,-387,0,-73,-1773,-1366,0
2019-03-31,1372.00000,897.00000,-172.00000,725.00000,-272.00000,440.00000,535.00000,392.00000,1095.00000,3192.00000,-194.00000,-6.00000,675.00000,675.00000,,475.00000,-1000.00000,-1048.00000,-2048.00000,-409.00000,-409.00000,,-77.00000,-2534.00000,1121.00000,
2018-12-31,147,257,-73,184,359,-191,-696,323,-205,126,-182,-24455,-67,-67,0,-24704,2972,1596,4568,-5,-5,0,-163,4400,-20177,0
2018-09-30,774,162,11,173,-72,-31,362,-582,-323,624,-126,0,263,263,-12,125,19884,-104,19780,14,14,0,-137,19657,20398,0
2018-06-30,808,136,0,136,186,21,-245,89,51,995,-117,0,-188,-188,206,-99,0,-2,-2,7,7,0,-17,-12,863,0
2018-03-31,917.00000,140.00000,42.00000,182.00000,-2.00000,94.00000,69.00000,765.00000,926.00000,2025.00000,-103.00000,,-1391.00000,-1391.00000,-206.00000,-1700.00000,-131.00000,-3.00000,-134.00000,-290.00000,-290.00000,,-106.00000,-530.00000,-201.00000,
2017-12-31,267,141,157,298,-72,-72,510,-349,10,575,-131,-176,-296,-296,0,-603,-3,96,93,-744,-744,0,-32,-683,-684,0
2017-09-30,562,139,235,374,112,0,380,-117,299,1235,-146,-19,-647,-647,444,-368,271,-2,269,-1031,-1031,0,-63,-825,45,0
2017-06-30,810,140,-31,109,-144,0,27,103,-222,697,-103,-14,-54,-54,-444,-615,0,-4,-4,-618,-618,0,-6,-628,-544,0
2017-03-31,593.00000,146.00000,-35.00000,111.00000,-14.00000,,-186.00000,784.00000,875.00000,1579.00000,-91.00000,,-26.00000,-26.00000,,-117.00000,-250.00000,-10.00000,-260.00000,-201.00000,-201.00000,,-54.00000,-515.00000,970.00000,
2016-12-31,374,150,-48,102,593,30,116,-425,371,847,-99,1,-782,-782,0,-880,0,-5,-5,13,13,0,22,30,-39,0
2016-09-30,452,150,5,155,840,0,67,509,1305,1912,-108,-1,-912,-912,-101,-1122,0,-32,-32,9,9,0,-9,-32,770,0
2016-06-30,503,152,-95,57,-311,0,205,100,-214,346,-142,-4,-66,-66,0,-212,0,-105,-105,4,4,0,24,-77,53,0
2016-03-31,514.00000,158.00000,43.00000,201.00000,-213.00000,,-263.00000,420.00000,206.00000,921.00000,-112.00000,,-248.00000,-248.00000,,-360.00000,,-6.00000,-6.00000,-129.00000,-129.00000,,-11.00000,-146.00000,433.00000,
2015-12-31,418,134,24,158,100,0,204,317,560,1136,-153,11,-1297,-1297,0,-1439,0,-6,-6,-117,-117,0,17,-106,-413,0
2015-09-30,544,149,42,191,70,0,3,-113,-121,614,-111,-3,-87,-87,0,-201,0,-5,-5,8,8,0,14,17,412,0
2015-06-30,584,151,56,207,-500,0,59,200,-345,446,-131,0,84,84,0,-47,-938,-5,-943,-94,-94,0,-13,-1050,-651,0
2015-03-31,531.00000,151.00000,-58.00000,93.00000,-560.00000,,157.00000,295.00000,113.00000,737.00000,-115.00000,-107.00000,173.00000,173.00000,,-49.00000,894.00000,-5.00000,889.00000,-314.00000,-314.00000,,-45.00000,530.00000,1200.00000,
2014-12-31,462,153,-58,95,-233,0,241,63,129,686,-123,0,-338,-338,0,-461,0,-8,-8,-339,-339,0,-64,-411,-201,0
2014-09-30,531,146,-25,121,68,0,-117,-86,-182,470,-114,0,-423,-423,-36,-573,0,-8,-8,-214,-214,0,5,-217,-346,0
2014-06-30,572,139,-65,74,-204,0,185,35,-134,512,-139,0,-187,-187,0,-326,0,-90,-90,-377,-377,0,-41,-508,-309,0
2014-03-31,529.00000,150.00000,-28.00000,122.00000,-389.00000,,-107.00000,85.00000,-161.00000,490.00000,-97.00000,,-421.00000,-421.00000,12.00000,-506.00000,,-6.00000,-6.00000,-572.00000,-572.00000,,79.00000,-499.00000,-519.00000,
2013-12-31,360,152,-50,102,-25,0,41,157,150,612,-113,-76,-578,-578,42,-725,-8,-10,-18,-149,-149,11,-3,-159,-260,11
2013-09-30,553,146,11,157,120,0,-165,109,120,830,-205,0,-158,-158,-44,-407,-7,-72,-79,-518,-518,0,-20,-617,-154,0
2013-06-30,506,149,50,199,-6,0,-31,114,98,82,-125,40,310,310,-40,185,0,-214,-214,-145,-145,-11,31,-339,-97,-11
2013-03-31,59.00000,150.00000,-27.00000,123.00000,170.00000,,-328.00000,756.00000,488.00000,-805.00000,-84.00000,-40.00000,1086.00000,1086.00000,,962.00000,,195.00000,195.00000,-41.00000,-41.00000,,31.00000,185.00000,328.00000,
2012-12-31,407,154,118,272,-39,0,262,3,114,793,-79,-113,199,199,0,7,0,-44,-44,-60,-60,0,26,-78,742,0
2012-09-30,466,136,8,144,89,0,-537,-494,-930,-320,-121,-271,-49,-49,0,-441,0,11,11,-79,-79,0,10,-58,-809,0
2012-06-30,380,144,-3,141,186,0,309,-104,415,936,-127,2,121,121,0,-4,0,-14,-14,7,7,-11,32,14,934,-11
2012-03-31,371.00000,126.00000,28.00000,154.00000,-245.00000,,-166.00000,722.00000,416.00000,941.00000,-81.00000,-3199.00000,-139.00000,-139.00000,,-3419.00000,-326.00000,145.00000,-181.00000,45.00000,45.00000,,30.00000,-106.00000,-2579.00000,
2011-12-31,273,93,24,117,94,0,51,-243,-142,248,-131,-103,190,190,0,-44,1640,278,1918,634,634,0,38,2590,2788,0
2011-09-30,183,86,-43,43,-44,0,590,-50,438,664,-104,0,-418,-418,0,-522,0,-27,-27,4,4,0,27,4,128,0
2011-06-30,391,83,37,120,50,0,69,-45,17,528,-114,13,-287,-287,0,-388,-4,-36,-40,-43,-43,-11,62,-32,118,-11
2011-03-31,414.00000,83.00000,112.00000,195.00000,-131.00000,,-366.00000,26.00000,-558.00000,51.00000,-73.00000,-12.00000,-231.00000,-231.00000,,-316.00000,589.00000,-216.00000,373.00000,-86.00000,-86.00000,,18.00000,305.00000,51.00000,
2010-12-31,396,88,-18,70,142,0,-288,176,-6,460,-91,-207,14,14,0,-284,-21,21,0,33,33,0,-9,24,201,0
2010-09-30,308,76,19,95,40,0,103,-56,107,510,-89,-327,-106,-106,0,-522,1,6,7,-85,-85,0,27,-51,-45,0
2010-06-30,295,67,48,115,42,0,212,-224,-31,379,-68,0,-345,-345,0,-413,295,-8,287,-109,-109,-11,27,194,150,-11
2010-03-31,284.00000,61.00000,51.00000,112.00000,-125.00000,,-299.00000,343.00000,-2.00000,394.00000,-52.00000,-5.00000,-66.00000,-66.00000,,-123.00000,-2.00000,40.00000,38.00000,24.00000,24.00000,,45.00000,107.00000,375.00000,0.00000
2009-12-31,331,61,35,96,152,0,-195,8,49,476,-89,0,-322,-322,0,-411,-198,170,-28,21,21,0,24,17,88,0
2009-09-30,330,62,67,129,7,0,-50,-189,-302,157,-82,0,-344,-344,0,-426,0,93,93,9,9,0,-23,79,-186,0
2009-06-30,435,76,50,126,55,0,-612,-95,-521,40,-76,0,-406,-406,0,-482,346,-298,48,0,0,-11,37,74,-353,-11
2009-03-31,209.00000,69.00000,177.00000,246.00000,-135.00000,,-464.00000,306.00000,-383.00000,72.00000,-60.00000,,-106.00000,-106.00000,,-166.00000,-2.00000,88.00000,86.00000,,,,51.00000,137.00000,33.00000,
