,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,180.4,52.3,-167.6,-115.3,-197.7,-8.3,162.4,54.5,119.6,-31.7,0,3.9,-314.8,433.2,118.4,-14.3,76.3,0,0,-88,-88,-67.6,0,-155.6,48.1,55.4,-67.6
2022-09-30,121.5,53.9,75.8,129.7,19.9,-12.8,-146.3,-199.4,51.8,-23.9,0,0,139.4,-2.8,136.6,0.8,113.5,0,0,27.2,27.2,-68,0,-40.8,109,61.5,-68
2022-06-30,113.4,55.2,13.2,68.4,-199.7,43.9,-322,-448.7,-266.9,-24.5,0,88.5,90.7,-1.8,88.9,0.9,153.8,0,0,-99.5,-99.5,-67.3,0,-166.8,-292.2,47.2,-67.3
2022-03-31,55.70000,56.30000,62.10000,118.40000,145.50000,44.60000,-100.50000,19.00000,193.10000,-25.00000,,-3.30000,98.80000,-7.10000,91.70000,0.50000,63.90000,,,-97.70000,-97.70000,-67.50000,,-165.20000,90.10000,45.20000,-67.50000
2021-12-31,132.9,58.1,134.2,192.3,-220.9,7.6,-105.7,-209.2,116,-30.5,0,-7.6,-349.1,412.2,63.1,-9.4,15.6,0,0,-149.1,-149.1,-64.2,0,-213.3,-90.1,59.7,-64.2
2021-09-30,88.9,58.4,66.4,124.8,-6,11.1,-65.7,-77,136.7,-28.4,0,0,7,-1.6,5.4,0.6,-22.4,0,0,-23.8,-23.8,-65,0,-88.8,23.4,54.9,-65
2021-06-30,62,60.5,72.2,132.7,-9.7,10.9,-16.3,62.5,257.2,-21.4,0,0,-58.6,-2.5,-61.1,0.7,-81.8,0,0,-110.5,-110.5,-64.7,-3.4,-178.6,-2.8,50.5,-64.7
2021-03-31,-31.10000,60.40000,125.90000,186.30000,204.80000,-29.40000,6.40000,24.60000,179.80000,-19.70000,,-175.00000,297.00000,1.40000,298.40000,-1.30000,102.40000,-423.80000,-423.80000,-103.70000,-103.70000,-65.20000,-58.30000,-651.00000,-370.80000,57.50000,-65.20000
2020-12-31,30.8,54.4,59.5,113.9,-202.2,5.8,76.1,-18.9,125.8,-32.5,0,-438.1,-720,862.1,142.1,-46.4,-374.9,416.2,416.2,-75.2,-75.2,-66.1,-52.9,222,-18.8,51.5,-66.1
2020-09-30,145.4,52,62,114,1.4,29.6,-83.5,-143,116.4,-24.1,0,0.2,-120,-4.9,-124.9,45.3,-103.5,0,0,-73.5,-73.5,-66.2,0,-139.7,-119.4,52.7,-66.2
