,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,647,654,36,690,864,601,-395,-329,741,2078,-641,-174,-807,-807,-9,-1631,1536,181,1717,-12,-12,-536,-17,1152,1623,-536
2022-09-30,760,668,-8,660,1090,654,-929,-295,520,1940,-497,-54,-25,-25,0,-576,3,-108,-105,-798,-798,-513,-1,-1417,-152,-513
2022-06-30,1681,684,-55,629,-26,-465,-17,52,-456,1854,-500,0,130,130,-26,-396,-869,201,-668,-738,-738,-526,-147,-2079,-738,-526
2022-03-31,1552.00000,752.00000,890.00000,1642.00000,-741.00000,-443.00000,86.00000,-493.00000,-1591.00000,1603.00000,-350.00000,11.00000,-13.00000,-13.00000,-15.00000,-367.00000,-9.00000,-35.00000,-44.00000,-565.00000,-565.00000,-514.00000,106.00000,-1017.00000,174.00000,-514.00000
2021-12-31,1761,655,-379,276,90,-266,971,-257,538,2575,-1150,-22,-207,-207,0,-1379,-119,-134,-253,-292,-292,-550,-2,-1097,57,-550
2021-09-30,1706,725,447,1172,-319,-224,130,256,-157,2721,-430,0,-327,-327,-10,-767,-1186,66,-1120,-388,-388,-525,-441,-2474,-565,-525
2021-06-30,1932,745,127,872,-1037,-800,746,291,-800,2004,-348,-107,-300,-300,0,-755,-1222,81,-1141,-127,-127,-542,-95,-1905,-620,-542
2021-03-31,1006.00000,717.00000,-986.00000,-269.00000,-866.00000,-478.00000,611.00000,-295.00000,-1028.00000,-291.00000,-291.00000,,278.00000,278.00000,,-13.00000,-135.00000,-47.00000,-182.00000,127.00000,127.00000,-529.00000,-11.00000,-595.00000,-947.00000,-529.00000
2020-12-31,1254,726,-182,544,-168,-72,476,-404,-168,1630,336,0,-561,-561,0,-225,-283,-164,-447,55,55,-562,-1,-955,553,-562
2020-09-30,-1,724,415,1139,-357,158,336,492,629,1767,-8,-130,56,56,0,-82,152,-511,-359,23,23,-518,-76,-930,825,-518
2020-06-30,-217,700,333,1033,568,540,-582,248,774,1590,-272,0,-138,-138,29,-381,-24,-594,-618,14,14,-534,-6,-1144,85,-534
2020-03-31,258.00000,724.00000,300.00000,1024.00000,128.00000,-111.00000,-314.00000,254.00000,-43.00000,1239.00000,-389.00000,,236.00000,236.00000,,-153.00000,174.00000,838.00000,1012.00000,-109.00000,-109.00000,-519.00000,-119.00000,265.00000,1265.00000,-519.00000
2019-12-31,-2310,713,2996,3709,259,185,-22,129,551,1950,-545,0,-52,-52,0,-597,-1149,158,-991,-40,-40,-578,-230,-1839,-459,-578
2019-09-30,347,739,42,781,755,425,-476,-108,596,1724,-457,0,-258,-258,0,-715,86,-13,73,-96,-96,-525,-41,-589,356,-525
2019-06-30,90,743,114,857,154,105,2,-333,-72,875,-493,0,111,111,0,-382,-2130,178,-1952,-299,-299,-522,1739,-1034,-464,-522
2019-03-31,601.00000,743.00000,725.00000,1468.00000,85.00000,-47.00000,-452.00000,-274.00000,-688.00000,1381.00000,-467.00000,,3.00000,3.00000,-34.00000,-498.00000,-81.00000,-16.00000,-97.00000,28.00000,28.00000,-537.00000,-27.00000,-633.00000,183.00000,-537.00000
2018-12-31,781,1146,1283,2429,1422,1120,-1453,1139,-1018,1370,-1031,24,232,-100,289,-818,859,-601,-624,-106,6,-684,235,-1243,-732,3199
2018-09-30,1049,732,-865,-133,-307,-208,154,176,-185,731,-612,-20,-136,-136,-90,-858,-291,80,-211,21,21,-1050,-69,-1309,-1426,-1050
2018-06-30,2208,-1704,-418,-2122,-1115,-912,1299,-1315,9476,6751,814,-64,-96,133,-8887,-8004,-568,52,398,85,-404,1215,-197,719,-923,-2149
2017-12-31,-3809,293,0,293,0,0,0,0,-3142,-2001,2106,-1028,0,635,747,2460,0,326,-65,0,1209,-726,-61,683,1539,0
2016-12-31,4404,2862,0,2862,0,0,0,0,-8377,-2957,-3820,1092,0,-864,8684,5092,0,-33,-556,0,-720,-2638,-67,-4014,-1956,0
