,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,135.5,154,-66.4,87.6,987.5,-1115.9,-61,-22.6999,200.4,-42.4,-346,0.1,0.1,-54.4,-442.7,-0.5,-141.3,-141.8001,20.9,20.9,-108,-24.2,-253.1,-312.6,29.9,-108
2022-09-30,256.3,145.5,-19.3,126.2,1115.9,-620.1,-37.3,774.2003,1156.7,-49.2,-97.6,1.3,1.3,-46.7,-192.2,-0.4,-188.6999,-189.0999,33.1,33.1,-107.5,-5.7,-269.2,487.1,29.6,-107.5
2022-06-30,285.1,140.3,-93.9,46.4,2934.6,-2511.1,-29.8,2.2,333.7,-53.4,-199.6,-0.3,-0.3,-22.3,-275.6,-200.7,477.4,276.7,23.2,23.2,-107.3,7.2,199.8,151,29.8,-107.3
2022-03-31,439.10000,159.80000,36.70000,196.50000,-9827.30000,9331.30000,120.70000,-201.00000,434.60000,-37.70000,-121.70000,-0.10000,-0.10000,65.20000,-94.30000,0.10000,-107.10000,-107.00000,45.90000,45.90000,-106.70000,-32.50000,-200.30000,172.40000,20.50000,-106.70000
2021-12-31,120.9,146.5,-52,94.5,1262.6,-1141.2,8,278.4,493.8,-25.4,-2619.3,0.1,0.1,3.7,-2640.9,742.4,41.7,784.1,22.1,22.1,-99.8,-23.9,682.5,-1546,24.3,-99.8
2021-09-30,238.6,131.3,-3.8,127.5,549,-440.7,12.7,155.2999,521.4,-44,-80,-0.5,-0.5,-63.6,-188.1,-651.9,78.1,-573.8,22.6,22.6,-89.8,-21.8,-662.8,-362.7,18,-89.8
2021-06-30,201.8,145.2,19.3,164.5,12.6,409.2,-84.6,103.9002,470.2,-32,-156,-0.3,-0.3,-64.1,-252.4,1561.5,16.8,1578.3,1464.8,1464.8,-105,-155.6,2782.5,3014.1,22,-105
2021-03-31,393.70000,143.30000,19.80000,163.10000,-1691.30000,1208.20000,-3.50000,-338.10010,218.70000,-27.20000,-395.60000,-0.40000,-0.40000,72.90000,-350.30000,25.00000,-54.60000,-29.60000,37.20000,37.20000,-97.40000,-28.30000,-118.10000,-213.40000,18.00000,-97.40000
2020-12-31,153.1,133.5,23.8,157.3,501.4,-441.8,-38.7,109.0999,419.5,-19.8,-233,-0.4,-0.4,-55.4,-308.6,-49.7,-0.8999,-50.5999,28.3,28.3,-87.3,-14.3,-123.9,99.5,19.3,-87.3
2020-09-30,187.8,133.9,-12.4,121.5,271.2,-127.6,-95,276.1,585.4,-20.7,-10.9,-0.4,-0.4,9,-23,894.6,-965.2001,-70.6001,25.4,25.4,-86.6,3.1,-128.7,472.1,17.7,-86.6
