,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,321,107,0,107,-692,-87,-25,-155,-959,-531,-79,0,-19,-19,-5,-103,0,0,-250,-250,-8,0,-258,-892,25,-8
2022-09-30,613.00000,103.00000,187.00000,290.00000,-260.00000,-333.00000,-127.00000,87.00000,-633.00000,270.00000,-74.00000,,-31.00000,-31.00000,-13.00000,-118.00000,,,-250.00000,-250.00000,-147.00000,-5.00000,-402.00000,-250.00000,7.00000,-147.00000
2022-06-30,308,103,308,411,230,-145,151,-22,214,933,-116,0,0,0,-11,-127,0,0,-252,-252,-12,24,-240,566,27,-12
2022-03-31,290,97,313,410,631,338,9,-71,907,1607,-70,-14,0,0,-6,-90,-750,-750,-251,-251,-145,8,-1138,379,28,-145
2021-12-31,-73,97,218,315,-766,5,-43,-123,-927,-685,-68,-154,1,1,0,-221,0,0,-247,-247,0,-3,-250,-1156,32,0
2021-09-30,708.00000,84.00000,114.00000,198.00000,-174.00000,-499.00000,-171.00000,-33.00000,-877.00000,29.00000,-53.00000,-75.00000,-29.00000,-29.00000,82.00000,-75.00000,,,-250.00000,-250.00000,-150.00000,-29.00000,-429.00000,-475.00000,15.00000,-150.00000
2021-06-30,272,89,214,303,113,-67,194,-42,198,773,-151,-51,0,0,3,-199,0,0,-288,-288,-148,-17,-453,121,35,-148
2021-03-31,582,84,83,167,629,317,-68,2,880,1629,-91,0,0,0,91,0,0,0,-364,-364,-6,4,-366,1263,37,-6
2020-12-31,230,76,-98,-22,-818,380,218,-18,-238,-30,-125,1,-55,-55,-1,-180,0,0,-149,-149,-161,-39,-349,-559,44,-161
2020-09-30,1117.00000,73.00000,-62.00000,11.00000,-193.00000,-440.00000,-62.00000,-166.00000,-861.00000,267.00000,-117.00000,-1.00000,-31.00000,-31.00000,,-149.00000,,,-267.00000,-267.00000,-15.00000,580.00000,298.00000,416.00000,31.00000,-15.00000
2020-06-30,145,99,91,190,619,14,91,-39,685,1020,-167,-495,-103,-103,62,-703,1191,1191,0,0,-14,-45,1132,1449,36,-14
2020-03-31,90,62,677,739,308,521,-48,-9,772,1601,-82,-306,349,349,-9,-48,0,0,-179,-179,-152,-17,-348,1205,36,-152
2019-12-31,314,62,-183,-121,-593,4,-17,-45,-651,-458,-71,-260,0,0,22,-309,0,0,-421,-421,-155,-6,-582,-1349,38,-155
2019-09-30,513.00000,59.00000,216.00000,275.00000,-110.00000,-358.00000,-113.00000,-5.00000,-586.00000,202.00000,-39.00000,,,,-1.00000,-40.00000,,,,,-14.00000,-42.00000,-56.00000,106.00000,27.00000,-14.00000
2019-06-30,465,69,10,79,30,60,364,-98,356,900,-88,0,-238,-238,0,-326,0,0,0,0,-155,-3,-158,416,31,-155
2019-03-31,539,68,200,268,391,305,85,0,781,1588,-59,0,0,0,-1,-60,6750,6750,0,0,-6511,-900,-661,867,5,-6511
2018-12-31,24,60,324,384,-487,34,-166,0,-619,-211,-46,0,0,0,2,-44,0,0,0,0,-22,-528,-550,-805,0,-22
2018-09-30,615.00000,53.00000,-67.00000,-14.00000,-100.00000,-202.00000,-52.00000,,-354.00000,247.00000,-42.00000,,-100.00000,-100.00000,-65.00000,-207.00000,,,,,,216.00000,216.00000,256.00000,0.00000,
2018-06-30,480,55,477,532,118,300,237,0,68,532,-67,0,0,0,-2,-69,0,0,0,0,-41,297,256,719,0,0
2018-03-31,466,54,8,62,456,-57,-107,0,292,820,-36,0,0,0,-6,-42,0,0,0,0,0,947,947,1725,0,0
2017-12-31,-127,-111,-485,-596,-574,-243,-130,0,-579,-1690,79,354,0,13,35,481,0,0,0,0,35,1229,1264,55,0,0
2017-06-30,1409,226,0,226,0,0,0,0,-368,1655,-191,0,0,-13,-38,-242,0,0,0,0,-35,-1396,-1431,-18,0,0
