,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1465,76,-32,44,1310,1128,151,-2676,153,1662,-92,-956,-956,0,-1048,0,0,-377,-377,0,-61,-438,176,62
2022-09-30,1043,119,-6,113,-4,-156,145,-655,-904,252,-89,1034,1034,0,945,0,0,-995,-995,0,-46,-1041,156,70
2022-06-30,2197,87,-165,-78,483,21,-21,-1246,-1815,304,-87,-1065,-1065,0,-1152,0,0,-1281,-1281,0,-46,-1327,-2175,50
2022-03-31,3657.00000,97.00000,-102.00000,-5.00000,1.00000,-501.00000,-35.00000,-1184.00000,-889.00000,2763.00000,-132.00000,-3789.00000,-3789.00000,,-3921.00000,,,-611.00000,-611.00000,,-31.00000,-642.00000,-1800.00000,44.00000
2021-12-31,4868,99,-192,-93,-33,-476,178,-1834,-1465,3310,-120,-1018,-1018,0,-1138,-140,-140,-829,-829,0,96,-873,1299,37
2021-09-30,3333,90,23,113,-1122,-322,-18,871,-170,3276,-99,-3228,-3228,0,-3327,0,0,32,32,0,-34,-2,-53,40
2021-06-30,2780,77,13,90,1190,-148,59,-277,1193,4063,-30,-3848,-3848,0,-3878,0,0,36,36,0,-60,-24,161,35
2021-03-31,1221.00000,20.00000,-20.00000,,-1819.00000,-448.00000,-15.00000,3657.00000,1750.00000,2971.00000,-35.00000,-145.00000,-145.00000,,-180.00000,,,28.00000,28.00000,,-2.00000,26.00000,2817.00000,30.00000
2020-12-31,-273,12,88,100,-1200,-47,-2,2430,1437,1264,-24,-166,-166,0,-190,-6,-6,50,50,0,0,44,1118,26
2020-09-30,-233,12,22,34,-157,0,2,1135,1092,893,-19,-1160,-1160,0,-1179,0,0,30,30,0,0,30,-256,22
2020-06-30,-117,9,25,34,-26,0,10,43,59,-24,-19,32,32,0,13,0,0,1381,1381,0,0,1381,1370,25
2020-03-31,-124.00000,8.00000,20.00000,28.00000,-2.00000,,2.00000,2.00000,-10.00000,-106.00000,-6.00000,-310.00000,-310.00000,,-316.00000,,,578.00000,578.00000,,,578.00000,156.00000,20.00000
2019-12-31,-123.269,8.382,20.134,28.516,2.631,0,-4.815,-7.37,-4.301,-99.054,-7.108,137.4009,137.4009,0,130.293,1,1,31.459,31.459,0,-0.741,31.718,62.957,20.204
2019-09-30,-123.215,6.185,20.86,27.045,-3.698,0,-17.714,-9.054,-10.923,-107.093,-6.711,120.0781,120.0781,0,113.367,0,0,15.554,15.554,0,0.258,15.812,22.086,20.804
2019-06-30,-134.94,6.122,21.49,27.612,2.093,0,-3.202,-4.909,-1.257,-108.585,-10.586,-236.315,-236.315,0,-246.901,0,0,3.93,3.93,0,0.247,4.177,-351.309,21.495
2019-03-31,-132.57600,6.31100,18.51600,24.82700,5.97400,,1.73100,-11.66700,-36.51900,-144.26800,-7.59500,-4.16400,-4.16400,,-11.75900,,,0.05700,0.05700,,0.23600,0.29300,-155.73400,18.49700
2018-12-31,-141.426,6.587,32.532,-34.337,-1.028,0,14.299,-27.961,11.287,-91.02,-13.637,19.81,19.81,0.622,6.795,1.934,1.934,564.093,564.093,0,9.888,575.915,491.69,31.641
2018-09-30,-80.331,5.909,14.72,20.629,0.605,0,2.058,-30.941,-20.509,-80.211,-26.14,142.222,142.222,0,116.082,-1.538,-1.538,0.29,-7.892,0,0,-9.43,26.441,14.72
2018-06-30,-90.601,5.43,14.353,19.783,25.908,0,-2.807,-12.604,22.569,-48.249,-34.08,22.435,22.435,0,-11.645,-1.286,-1.286,0.048,111.628,0,0.02,110.362,50.468,14.353
2018-03-31,-72.37600,5.07000,11.85100,16.92100,-24.65300,,1.46700,4.28700,-55.93000,-111.38500,-31.90900,-451.79500,-451.79500,,-483.70400,-1.28500,-1.28500,0.02200,549.55300,,1.72700,549.99500,-45.09400,11.85100
2017-12-31,-39.7,4.03,0,4.03,0,0,0,0,-363.23,-398.21,-25.26,0,1082.32,7.64,1064.69,0,0,0,-473.33,-0.85,1.43,-472.75,193.73,0
2016-12-31,-216.21,17.59,0,17.59,0,0,0,0,225.99,66.73,-33.14,0,-606.56,-8.9,-648.6,0,0,0,473.54,-0.63,0,472.91,-108.96,0
