,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,252.2,284.6,-90.4,194.1999,-433,117.5,39.3,-180.6,-456.8,1.2,-659.7,-19.2,-19.1,39.4,39.4,2.1,-656.5,572.1,387.6,959.7,-0.4,-0.4,-229.4,-8.4,721.5,66.2,-229.4
2022-09-30,301.7,280.3,-8,272.3001,114.6,-352.4,80.7,-55.9,-213,296.9,-667.9,0,-362.9,-9.1,-9.1,-8.5,-1048.4,1384.2,-372.3,1011.9,-9.8,-9.8,-229.5,-10,762.6,11.1,-229.5
2022-06-30,287.8,279.6,44.6,324.2,210.6,-203.4,295.3,-145.9,156.6,685.8,-590,0,0,-9.2,-9.2,-0.1,-599.3,-33.7,179.1,145.4,-13.8,-13.8,-229.4,-3.4,-101.2,-14.7,-229.4
2022-03-31,568.00000,278.10000,92.50000,370.60000,-174.30000,267.00000,-293.80000,373.50000,172.40000,1076.80000,-373.80000,,,-5.70000,-5.70000,41.30000,-338.20000,-15.40000,-447.00000,-462.40000,-11.60000,-11.60000,-229.60000,-2.90000,-706.50000,32.10000,-229.60000
2021-12-31,223.8,275.1,-60.5,214.6,-411.6,9.9,142,-146.9,-406.6,26,-624.6,0,-0.1,6,6,-4.4,-623.1,393.6,388.6,782.2,-8.2,-8.2,-213.6,15,575.4,-21.7,-213.6
2021-09-30,288.7,271.6,-19.4,252.2,92.4,-193,104.2,253.8,257.4,780.5,-617,0,-0.1,0,0,3,-614.1,-15,83.9,68.9,-1.9,-1.9,-213.7,-10.2,-156.9,9.5,-213.7
2021-06-30,275.7,266.2,22.8,289,220.4,-99.2,62.2,84.6,268,831,-530,0,-0.3,0,0,-3,-533.3,92.3,-155.9,-63.6,-1.9,-1.9,-213.8,-8.3,-287.6,10.1,-213.8
2021-03-31,510.30000,261.40000,116.30000,377.70000,-150.40000,175.10000,-181.50000,-268.80000,-425.60000,395.20000,-459.30000,,-119.40000,12.70000,12.70000,24.70000,-541.30000,585.30000,-196.50000,388.80000,-5.40000,-5.40000,-213.70000,-6.60000,163.10000,17.00000,-213.70000
2020-12-31,239.6,249.3,-22.3,227,-246.2,44.8,117.6,-134,-217.8,246.3,-609.6,0,-604.5,-4.7,-4.7,-24.9,-1243.7,223.4,1005.9,1229.3,-22,-22,-199.5,1,1008.8,11.4,-199.5
2020-09-30,267.1,245,5.3,250.3,46.9,-105.7,9.4,110.9,61.5,570.1,-573.8,0,0,-6.2,-6.2,23.1,-556.9,635.6,-440.5,195.1,-3.4,-3.4,-199.5,-6.6,-14.4,-1.2,-199.5
2020-06-30,242.1,242.5,27.6,270.1,218.9,-76.6,61.8,-42.4,161.7,689.1,-540.3,0,0,-5.9,-5.9,3,-543.2,-294.2,384.3,90.1,-5.6,-5.6,-199.5,-34.2,-149.2,-3.3,-199.5
2020-03-31,452.60000,239.10000,89.20000,328.30000,-3.50000,158.70000,-250.10000,37.70000,-57.20000,690.50000,-494.80000,,,14.00000,14.00000,17.80000,-463.00000,-14.00000,-3.60000,-17.60000,-24.40000,-24.40000,-199.50000,-2.60000,-244.10000,-16.60000,-199.50000
2019-12-31,244.2,236.2,65.2,301.4,-262,43.4,193.8,-37,-61.8,504.8,-781.5,0,37.6,-15.3,-15.3,-1.2,-760.4,308.4,144.4,452.8,-1,-1,-186.1,5.6,271.3,15.7,-186.1
2019-09-30,234.3,233.8,-49.5,184.3,92.3,-131.9,30.4,143.7,134.5,549.5,-624.1,0,-30,-15.3,-15.3,1.3,-668.1,881.3,-576.3,305,-15.9,-15.9,-186.1,-8.5,94.5,-24.1,-186.1
2019-06-30,235.8,229.9,65.4,295.3,392.2,-131.3,-18.4,-214.8,27.7,555.5,-507,0,30,-18.5,-18.5,35.7,-459.8,-4,117.5,113.5,-18.1,-18.1,-186.1,-3.4,-94.1,1.6,-186.1
2019-03-31,420.40000,226.40000,13.00000,239.40000,-124.30000,218.30000,-204.30000,179.70000,69.40000,735.70000,-348.20000,,-268.20000,-3.30000,-3.30000,13.10000,-606.60000,336.70000,-294.90000,41.80000,-38.10000,-38.10000,-186.20000,-3.60000,-186.10000,-57.00000,-186.20000
2018-12-31,205.3,217.7,185,402.7,-288.6,60.2,181.8,-232.8,-279.4,437.3,-625.2,0,-79.6,27.2,27.2,13.2,-664.4,871.6,-348.2,523.4,-15.2,-15.2,-174.3,-0.9,333,105.9,-174.3
2018-09-30,233.5,212.8,-10.8,202,76.6,-141.6,13.8,76.3,25.1,494.8,-575,0,-140.5,-11.2,-11.2,3.5,-723.2,-13,418.3,405.3,-13.4,-13.4,-174.3,-1,216.6,-11.8,-174.3
2018-06-30,231.3,206.7,8.1,214.8,295.6,-90.4,85.9,-131,160.1,619.4,-476.7,0,-69.2,-19.6,-19.6,4.5,-561,-68.8,169.7,100.9,-1,-1,-174.5,-3.5,-78.1,-19.7,-174.5
2018-03-31,390.40000,208.60000,18.80000,227.40000,-60.10000,163.00000,-170.90000,209.90000,141.90000,894.00000,-438.80000,,,3.70000,3.70000,-0.70000,-435.80000,-12.60000,-244.30000,-256.90000,-13.70000,-13.70000,-174.20000,-0.30000,-445.10000,13.10000,-174.20000
2017-12-31,432.9,205.1,-164.1,41,-396.9,133.4,119.7,74.5,-69.3,332.9,-673,0,24,-49.9,-49.9,10.6,-688.3,97.4,451.1,548.5,-5.5,-5.5,-164.1,-3.4,375.5,20.1,-164.1
2017-09-30,215.7,201.2,161.9,363.1,63.2,-162,2.8,47.4,-48.6,478.8,-517.2,0,0,-12.8,-12.8,0.4,-529.6,-12.3,218.7,206.4,-10.9,-10.9,-164.1,-0.4,31,-19.8,-164.1
2017-06-30,199.4,197.7,111.1,308.8,192.3,-92.6,98.7,-99.2,99.2,552.3,-439.6,0,-239.1,-22.9,-22.9,-1.5,-703.1,207.4,104.4,311.8,-9.8,-9.8,-164.2,-2.1,135.7,-15.1,-164.2
2017-03-31,356.90000,194.60000,37.50000,232.10000,55.00000,170.50000,-212.70000,132.00000,144.80000,714.60000,-329.70000,,13.10000,-19.00000,-19.00000,2.50000,-333.10000,-12.00000,-189.80000,-201.80000,-14.30000,-14.30000,-164.10000,-0.60000,-380.80000,0.70000,-164.10000
2016-12-31,194.7,181.1,38.3,219.4,-365.9,66.2,129.1,86.8,-83.8,381.9,-257.3,0,-161.2,-72.7,-72.7,-21.4,-512.6,147.5,70.8,218.3,-1.2,-1.2,-156.3,-1.4,59.4,-71.3,-156.3
2016-09-30,217.3,195.5,115.3,310.8,55.1,-159.7,17.7,67.9,-19,497.8,-542.4,0,161.2,-15,-15,3.7,-392.5,188.3,-138.4,49.9,-6,-6,-156.2,-0.1,-112.4,-7.1,-156.2
2016-06-30,181.7,194.1,88.8,282.9,178.7,-23.7,11.3,-65.3,101,528.2,-145.7,0,-106.5,-3.1,-3.1,-5.4,-260.7,-102.4,31.4,-71,-21,-21,-156.2,-21.9,-270.1,-2.6,-156.2
2016-03-31,346.50000,191.90000,176.10000,368.00000,-48.60000,217.20000,-123.70000,-7.00000,37.90000,695.90000,-312.00000,,106.50000,-9.00000,-9.00000,26.10000,-188.40000,-139.40000,-198.60000,-338.00000,-38.20000,-38.20000,-156.20000,9.80000,-522.60000,-15.10000,-156.20000
2015-12-31,179.9,192.6,193.7,386.3,-185.5,32,46.6,-186.6,-293.5,219.2,-472.2,0,0,-3.1,-3.1,53.7,-421.6,-2.5,433.5,431,-4.9,-57.6,-144.5,1.1,230,27.6,-144.5
2015-09-30,183.1,175.8,86.6,262.4,135,-173.6,-83.3,158,25.6,357.9,-397.1,0,-21.7,-3,-3,5.1,-416.7,184.5,-164.8,19.7,-19.9,-19.9,-120.4,-12.8,-133.4,-192.2,-120.4
2015-06-30,81.2,107.8,9.2,117,162.5,-38.7,98.7,-57.1,182.4,386.5,-214.8,0,-1308.2,-1.3,-1.3,1.4,-1522.9,1447.7,-51.1,1396.6,-4.8,-4.8,-95.2,-11,1285.6,149.2,-95.2
2015-03-31,196.10000,107.30000,-2.80000,104.50000,-28.00000,110.90000,-71.30000,72.60000,77.70000,330.00000,-153.20000,,,-1.30000,-1.30000,-1.80000,-156.30000,-9.30000,-54.60000,-63.90000,-15.00000,-15.00000,-95.30000,3.80000,-170.40000,3.30000,-95.30000
2014-12-31,122.6,104.1,59.2,163.3,-140.4,-21.3,51.4,-59.6,-159.6,164.3,-248.2,0,13.9,-2.6,-2.6,9,-227.9,-2.3,141.8,139.5,-20.4,-20.4,-88,5.7,36.8,-26.8,-88
2014-09-30,126.3,106.4,58.5,164.9,89.1,-75,24.9,10.2,49.5,313.3,-207.5,0,0,-2.6,-2.6,-5.9,-216,-10.9,65.7,54.8,-12.8,-12.8,-88,4,-42,55.3,-88
2014-06-30,133,102.8,76.4,179.2,316.8,-69.4,-147.3,-5.2,82.9,336.2,-176.3,0,0,-4,-4,6.5,-173.8,-52.2,-12.1,-64.3,-2.3,-2.3,-87.9,-2.1,-156.6,5.8,-87.9
2014-03-31,207.60000,103.70000,111.60000,215.30000,-184.80000,94.50000,94.70000,-4.60000,1.20000,385.10000,-129.20000,,,-3.90000,-3.90000,-6.00000,-139.10000,-8.90000,-115.20000,-124.10000,-37.40000,-37.40000,-88.10000,5.20000,-244.40000,1.60000,-88.10000
2013-12-31,145.5,98.4,70.1,168.5,-258.2,38.2,44.4,-39.2,-226.4,181.9,-225,0,0,-2.6,-2.6,26.6,-201,-33,175.6,142.6,-29.7,-29.7,-86.6,0.3,26.6,7.5,-86.6
2013-09-30,137.5,99.9,76.7,176.6,46,-49.7,27.4,29.6,85.3,368.8,-190.4,0,0,-2.7,-2.7,-15.1,-208.2,-52.7,25.9,-26.8,-50.2,-50.2,-86.7,0.6,-163.1,-2.5,-86.7
2013-06-30,119,99.5,41.3,140.8,133.6,-51.1,17.9,-52.9,76.5,351.2,-173.7,0,0,-3.9,-3.9,-13.7,-191.3,-52,19.2,-32.8,-55.8,-55.8,-77.8,2.8,-163.6,-3.7,-77.8
2013-03-31,176.60000,98.20000,101.80000,200.00000,-84.30000,93.90000,-104.50000,63.80000,-43.90000,330.30000,-133.60000,,,-1.30000,-1.30000,-10.40000,-145.30000,-8.50000,-77.90000,-86.40000,-39.20000,-39.20000,-77.80000,7.50000,-195.90000,-10.90000,-77.80000
2012-12-31,98.8,93.5,43.6,137.1,-80.4,-18.6,100.3,-28.9,-18.3,181.5,-220.8,0,0,4.2,4.2,-21.6,-238.2,249.8,-58.6,191.2,-43.7,-43.7,-68.9,0.7,79.3,22.6,-68.9
2012-09-30,156.1,94.4,8.4,102.8,22.5,-7.1,3.7,46.1,167.1,383.7,-163.5,0,0,1.9,1.9,-17.2,-178.8,-8.3,-106.3,-114.6,-21.3,-21.3,-69.1,0,-205,-0.1,-69.1
2012-06-30,119.3,93.2,73.3,166.5,84.7,-23.4,22.1,-55.8,17.8,268.2,-171.7,0,0,2.8,2.8,-13.3,-182.2,-2,2.2,0.2,-22.1,-22.1,-69.2,0.1,-91,-5,-69.2
2012-03-31,172.10000,90.60000,67.90000,158.50000,11.50000,70.40000,-82.30000,45.00000,60.10000,340.50000,-142.30000,,,18.20000,18.20000,-6.30000,-130.40000,-8.00000,-112.60000,-120.60000,-16.30000,-16.30000,-69.10000,-0.10000,-206.10000,4.00000,-69.10000
2011-12-31,116,87.5,194.7,282.2,-106.3,-14,53.6,41.1,-182.1,165.8,-215.6,0,0,0,0,-26.6,-242.2,-1.9,173.2,171.3,-38.8,-38.8,-60,2.9,75.4,-1,-60
2011-09-30,129.8,79.7,-56.1,23.6,45.3,-28.9,-3.1,-13.2,10,179,-265.1,0,0,-2,-2,-15.7,-282.8,292.2,-45.7,246.5,-78.7,-78.7,-60.5,1,108.3,4.5,-60.5
2011-06-30,109.5,85,65.1,150.1,132,-54.7,9.7,-73,33.5,257.6,-211.4,0,0,-2,-2,-9.7,-223.1,-451.9,260.9,-191,-10.1,-10.1,-60.7,1.9,-259.9,-225.4,-60.7
2011-03-31,170.90000,84.20000,-50.50000,33.70000,-40.90000,94.70000,-48.40000,94.60000,139.70000,391.00000,-97.20000,,,-39.80000,-39.80000,-7.40000,-144.40000,415.00000,-376.40000,38.60000,-11.90000,-11.90000,-60.80000,-1.00000,-35.10000,211.50000,-60.80000
2010-12-31,125.9,33.2,137.2,170.4,-161.8,43.2,61.1,-46.3,-148.8,156.7,-247.7,0,0,53.1,53.1,-28.9,-223.5,-1.8,139.3,137.5,-13.2,-13.2,-46.7,2.5,80.1,13.3,-46.7
2010-09-30,112.2,25,11.7,36.7,38.9,-32.1,-10,60.2,72.6,230,-166.2,0,0,50,50,-18.5,-134.7,-26.4,-1.8,-28.2,-26.8,-26.8,-46.8,7.2,-94.6,0.7,-46.8
2010-06-30,88.7,38.3,22.2,60.5,106.2,-54.4,6.3,-23.7,-26.9,120,-121.2,0,0,38.3,38.3,-21.3,-104.2,-1.8,42.4,40.6,-13.8,-13.8,-46.7,2.5,-17.4,-1.6,-46.7
2010-03-31,129.70000,22.50000,34.60000,57.10000,-33.70000,42.30000,-36.10000,71.80000,92.30000,303.70000,-194.40000,,,39.60000,39.60000,-16.30000,-171.10000,268.30000,-347.10000,-78.80000,-11.90000,-11.90000,-46.80000,-3.20000,-140.70000,-8.10000,-46.80000
2009-12-31,118.7,25.6,127.9,153.5,-126,9.7,69.5,-48.8,-74.4,195.2,-260.4,0,0,34.7,34.7,-34.4,-260.1,230.9,-112.9,118,-4.1,-4.1,-39.4,0.9,75.4,10.5,-39.4
2009-09-30,58.5,32.1,155,187.1,68.9,-74.5,-31.9,78.9,-35.9,202.7,-188.8,0,0,39.8,39.8,-22.2,-171.2,-148.7,157.8,9.1,-4.3,-4.3,-39.5,1.1,-33.6,-2.1,-39.5
2009-06-30,63.7,35.1,63.3,98.4,241.3,-63.2,-37.2,-49.4,109,210.7,-177.3,0,0,40,40,-24.5,-161.8,-1.6,-11.1,-12.7,-1.6,-1.6,-39.4,0.3,-53.4,-4.5,-39.4
2009-03-31,141.50000,23.40000,-246.40000,-223.00000,-73.10000,93.40000,-119.50000,78.60000,61.40000,20.30000,-171.30000,,,51.60000,51.60000,-23.30000,-143.00000,-40.20000,189.00000,148.80000,-2.60000,-2.60000,-39.50000,0.60000,107.30000,-15.40000,-39.50000
