,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,10688.00000,658.00000,,753.00000,13110.00000,171.00000,,10376.00000,541.00000,12510.00000,25620.00000,2278.00000,3610.00000,826.00000,4534.00000,6812.00000,12768.00000,-589.00000,18808.00000,25620.00000
2022-06-30,10483.00000,572.00000,,684.00000,12507.00000,175.00000,,10384.00000,545.00000,12487.00000,24994.00000,2024.00000,3609.00000,862.00000,4722.00000,6746.00000,12333.00000,-591.00000,18248.00000,24994.00000
2022-03-31,10967.00000,530.00000,,556.00000,12486.00000,174.00000,,10244.00000,511.00000,12526.00000,25012.00000,2291.00000,3608.00000,907.00000,4890.00000,7181.00000,12053.00000,-586.00000,17831.00000,25012.00000
2021-12-31,10423.00000,972.00000,,712.00000,12556.00000,169.00000,,10246.00000,497.00000,12500.00000,25056.00000,2411.00000,3608.00000,932.00000,5046.00000,7457.00000,12025.00000,-578.00000,17599.00000,25056.00000
2021-09-30,9718.00000,585.00000,,681.00000,11211.00000,171.00000,,10214.00000,632.00000,12766.00000,23977.00000,2016.00000,3607.00000,971.00000,5011.00000,7027.00000,11460.00000,-587.00000,16950.00000,23977.00000
2021-06-30,9209.00000,682.00000,,747.00000,10887.00000,174.00000,,10214.00000,583.00000,12685.00000,23572.00000,2253.00000,3606.00000,916.00000,5033.00000,7286.00000,10821.00000,-593.00000,16286.00000,23572.00000
2021-03-31,9281.00000,773.00000,,585.00000,10922.00000,192.00000,,10211.00000,643.00000,12503.00000,23425.00000,3181.00000,3606.00000,942.00000,4913.00000,8094.00000,9945.00000,-600.00000,15331.00000,23425.00000
2020-12-31,8647.00000,1052.00000,,514.00000,10565.00000,209.00000,,10216.00000,641.00000,12544.00000,23109.00000,3100.00000,3605.00000,949.00000,4972.00000,8072.00000,9691.00000,-622.00000,15037.00000,23109.00000
2020-09-30,7415.00000,619.00000,,570.00000,9002.00000,211.00000,,10233.00000,699.00000,12575.00000,21577.00000,2187.00000,3604.00000,924.00000,5008.00000,7195.00000,9183.00000,-633.00000,14382.00000,21577.00000
2020-06-30,6338.00000,614.00000,,436.00000,7719.00000,222.00000,,10247.00000,677.00000,12501.00000,20220.00000,2557.00000,2676.00000,869.00000,3981.00000,6538.00000,8579.00000,-634.00000,13682.00000,20220.00000
