,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2023-01-31,4047.00000,5385.00000,6054.00000,1229.00000,16715.00000,2494.00000,2088.00000,4050.00000,11244.00000,27959.00000,7250.00000,5458.00000,1831.00000,7289.00000,14539.00000,8.00000,39389.00000,-235.00000,13420.00000,27959.00000
2022-10-31,2581.00000,6068.00000,5932.00000,1344.00000,15925.00000,2307.00000,1980.00000,4039.00000,10801.00000,26726.00000,7379.00000,5457.00000,1696.00000,7153.00000,14532.00000,8.00000,37892.00000,-202.00000,12194.00000,26726.00000
2022-07-31,3548.00000,4956.00000,5506.00000,1424.00000,15434.00000,2194.00000,2047.00000,4050.00000,10727.00000,26161.00000,6833.00000,5456.00000,1802.00000,7258.00000,14091.00000,9.00000,36520.00000,-259.00000,12070.00000,26161.00000
2022-04-30,3922.00000,4883.00000,5009.00000,1430.00000,15244.00000,2071.00000,2102.00000,3564.00000,10215.00000,25459.00000,6650.00000,5455.00000,1775.00000,7230.00000,13880.00000,9.00000,35137.00000,-275.00000,11579.00000,25459.00000
2022-01-31,5737.00000,4405.00000,4526.00000,1039.00000,15707.00000,1974.00000,2026.00000,3573.00000,9721.00000,25428.00000,6264.00000,5454.00000,1820.00000,7274.00000,13538.00000,9.00000,33827.00000,-278.00000,11890.00000,25428.00000
2021-10-31,5459.00000,4953.00000,4309.00000,1386.00000,16107.00000,1934.00000,2055.00000,3583.00000,9718.00000,25825.00000,6344.00000,5452.00000,1782.00000,7234.00000,13578.00000,9.00000,32246.00000,-260.00000,12247.00000,25825.00000
2021-07-31,6510.00000,3822.00000,4117.00000,799.00000,15248.00000,1814.00000,1658.00000,3595.00000,9231.00000,24479.00000,5125.00000,5451.00000,1843.00000,7294.00000,12419.00000,9.00000,30748.00000,-292.00000,12060.00000,24479.00000
2021-04-30,6765.00000,3375.00000,4053.00000,778.00000,14971.00000,1768.00000,1569.00000,3606.00000,9114.00000,24085.00000,4822.00000,5450.00000,1820.00000,7270.00000,12092.00000,9.00000,29247.00000,-290.00000,11993.00000,24085.00000
2021-01-31,6623.00000,3045.00000,3925.00000,676.00000,14269.00000,1638.00000,1601.00000,3619.00000,9036.00000,23305.00000,4504.00000,5449.00000,1879.00000,7328.00000,11832.00000,9.00000,28137.00000,-297.00000,11473.00000,23305.00000
2020-10-31,5738.00000,2963.00000,3904.00000,764.00000,13369.00000,1604.00000,1538.00000,3619.00000,8984.00000,22353.00000,4459.00000,5448.00000,1868.00000,7316.00000,11775.00000,9.00000,27209.00000,-299.00000,10578.00000,22353.00000
