,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,155.00000,403.00000,36.00000,140.00000,534.00000,1268.00000,21420.00000,609.00000,89.00000,22118.00000,23386.00000,1330.00000,5677.00000,76.00000,7740.00000,9070.00000,2.00000,559.00000,14316.00000,23386.00000
2019-12-31,128.00000,634.00000,37.00000,24.00000,46.00000,869.00000,21835.00000,588.00000,97.00000,22662.00000,23531.00000,1263.00000,5371.00000,11.00000,7362.00000,8625.00000,2.00000,890.00000,14906.00000,23531.00000
2019-09-30,100.00000,538.00000,45.00000,22.00000,140.00000,845.00000,22043.00000,336.00000,171.00000,22708.00000,23553.00000,1181.00000,4761.00000,13.00000,6883.00000,8064.00000,2.00000,1407.00000,15489.00000,23553.00000
2019-06-30,326.00000,517.00000,44.00000,56.00000,29.00000,972.00000,21603.00000,299.00000,147.00000,22199.00000,23171.00000,1180.00000,4472.00000,18.00000,6541.00000,7721.00000,2.00000,1069.00000,15450.00000,23171.00000
2019-03-31,126.00000,463.00000,39.00000,,5.00000,693.00000,21047.00000,264.00000,114.00000,21575.00000,22268.00000,1112.00000,4670.00000,30.00000,6642.00000,7754.00000,2.00000,752.00000,14514.00000,22268.00000
2018-12-31,215.00000,392.00000,37.00000,50.00000,231.00000,925.00000,20372.00000,117.00000,85.00000,20671.00000,21596.00000,1019.00000,4464.00000,25.00000,6410.00000,7429.00000,2.00000,762.00000,14167.00000,21596.00000
2018-09-30,508.44600,264.31700,14.81500,8.11100,,795.68900,8714.60600,106.83400,93.89300,9010.88400,9806.57300,721.78700,2332.35900,5.93800,2654.98900,3376.77600,0.98700,467.83000,6429.79700,9806.57300
2018-06-30,113.92700,258.89000,13.26400,7.26600,,393.34700,8343.04400,108.56400,37.39100,8561.04800,8954.39500,727.07700,1967.07400,8.52100,2214.85100,2941.92800,0.98600,323.10500,6012.46700,8954.39500
2018-03-31,72.48700,236.28000,8.96300,6.73700,,324.46700,7751.17200,109.10300,40.14600,7900.42100,8224.88800,607.66800,1701.91200,6.49900,1882.03800,2489.70600,0.98600,116.28600,5735.18200,8224.88800
2017-12-31,112.44600,231.61300,9.10800,4.90300,0.53100,358.60100,7343.61700,,68.76700,7412.38400,7770.98500,577.42800,1477.34700,6.30300,1611.82000,2189.24800,0.98200,-37.13300,5581.73700,7770.98500
2017-09-30,30.20500,153.69200,4.83400,3.50900,1.61400,193.85400,7048.60700,,45.10700,7093.71400,7287.56800,417.61700,1256.38800,4.14500,1283.82800,1701.44500,0.98200,-151.69200,5586.12300,7287.56800
2017-06-30,16.58800,154.63500,4.92500,3.45700,41.73200,221.33700,6508.74700,,53.40400,6562.47200,6783.80900,323.16600,1151.51500,,1173.70900,1496.87500,0.98100,-224.71600,5286.93400,6783.80900
2017-03-31,37.44000,139.47600,3.02700,4.45700,14.37400,198.77400,6103.09700,,67.70600,6170.92600,6369.70000,244.06900,985.78600,,1006.27300,1250.34200,0.98100,-383.12100,5119.35800,6369.70000
2016-12-31,1667.07400,120.12200,1.98300,2.98700,,1792.16600,3390.85700,,166.65700,3557.51400,5349.68000,209.34200,1105.91200,,1122.04600,1331.38800,0.90100,-519.39400,4018.29200,5349.68000
2016-09-30,167.76900,85.51400,1.96900,3.01800,,258.27000,3223.98000,,43.43000,3267.41000,3525.68000,175.02500,497.81300,1.80700,515.36000,690.38500,0.78100,-544.99200,2835.29500,3525.68000
2016-06-30,219.29400,74.91400,1.49400,2.24800,,297.95000,2496.37300,,46.03200,2542.40500,2840.35500,141.70500,494.47500,3.83600,512.09800,653.80300,0.71700,-542.76200,2186.55200,2840.35500
2016-03-31,236.31000,49.06400,1.59100,3.27800,0.82100,291.06400,2607.44600,,44.44900,2651.89500,2942.95900,106.70000,485.64100,,499.20300,605.90300,0.71700,-387.27200,2337.05600,2942.95900
2015-12-31,20.61500,78.90400,1.72800,2.87500,4.62300,108.74500,2597.62500,,44.34900,2641.97400,2750.71900,141.42100,487.80700,,500.32500,641.74600,0.66800,-354.36000,2108.97300,2750.71900
2015-09-30,44.32700,83.24200,2.60200,3.25900,40.00900,173.43900,2758.21700,,54.25700,2818.11500,2991.55400,200.17200,489.00000,,501.66200,701.83400,0.66700,-166.95100,2289.72000,2991.55400
2015-06-30,45.17800,70.41100,2.65800,4.20500,47.91000,170.36200,2946.39700,,54.69900,3001.09600,3171.45800,142.63900,718.00000,,785.20000,927.83900,0.63700,-10.17000,2243.61900,3171.45800
2015-03-31,32.14300,83.21000,2.84700,4.83700,92.33500,215.37200,2825.67200,,51.43700,2877.10900,3092.48100,184.03000,611.57900,,791.93400,975.96400,0.59000,202.11700,2116.51700,3092.48100
2014-12-31,30.68300,97.99400,2.82700,4.60000,115.60700,251.71100,2791.80700,,51.96300,2843.77000,3095.48100,266.72900,673.50000,,843.53900,1110.26800,0.56900,196.26800,1985.21300,3095.48100
2014-09-30,40.64400,90.22800,3.10500,3.22300,6.06100,143.26100,2626.15900,,51.13500,2677.29400,2820.55500,196.28600,590.00000,,738.42300,934.70900,0.56700,97.59400,1885.84600,2820.55500
2014-06-30,36.99300,68.65500,3.30800,1.42100,,114.70400,1919.98800,,12.70200,1932.69000,2047.39400,168.87700,496.00000,,626.18000,795.05700,0.50900,53.85500,1252.33700,2047.39400
2014-03-31,25.31400,56.57800,5.88900,1.49500,,90.65300,1833.57800,,12.66600,1846.24400,1936.89700,155.21100,587.00000,,698.77700,853.98800,0.50800,26.10200,1082.90900,1936.89700
2013-12-31,15.55500,39.27300,5.63100,1.18400,0.21300,61.96800,1446.33700,,13.30900,1459.64600,1521.61400,121.32000,460.00000,,554.75300,676.07300,0.47100,2.51300,845.54100,1521.61400
2013-09-30,53.10000,31.28200,6.22800,0.65900,0.22300,91.91500,1361.12100,,12.86000,1373.98100,1465.89600,109.45100,450.08500,,533.50700,642.95800,0.47000,-17.61100,822.93800,1465.89600
2013-06-30,81.89800,24.36900,6.27100,0.80700,3.19100,116.53600,681.17200,,0.93100,682.10300,798.63900,97.48700,0.12100,,73.54300,171.03000,0.42200,-32.20700,627.60900,798.63900
2013-03-31,5.51600,19.67800,6.24700,0.95600,0.91400,34.51600,612.81300,,1.13400,613.94700,648.46300,76.33600,36.65700,,104.09300,180.42900,0.37000,-46.67800,468.03400,648.46300
2012-12-31,26.35800,14.81200,6.19500,1.05300,,50.27500,554.24200,,2.18400,556.42600,606.70100,79.23200,0.19300,0.38800,65.40100,144.63300,0.37000,-52.07400,462.06800,606.70100
2012-09-30,1.27500,18.22300,6.31000,1.09600,,26.90400,277.35000,,3.51300,280.86300,307.76700,60.07200,120.27500,1.55600,123.09500,183.16700,,,124.60000,307.76700
2012-06-30,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,0.00000,0.00000
2012-03-31,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,0.00000,0.00000
2011-12-31,,,,,,,,,,,0.00000,,,,,,,,,
2011-09-30,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,0.00000,0.00000
2010-12-31,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,0.00000,0.00000
