,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-10-31,2466.55100,485.31300,89.48900,3203.61300,430.03000,46.39500,519.78500,25.36400,1265.83000,4469.44300,1817.05300,740.63300,23.82500,1314.75800,3131.81100,0.11700,-1100.68200,-9.18400,1337.63200,4469.44300
2022-07-31,2318.85800,418.79900,90.19800,2975.98000,383.01200,35.58500,505.90600,22.84900,1178.25600,4154.23600,1649.25000,740.26100,19.44400,1261.63900,2910.88900,0.11600,-1045.72600,-5.67500,1243.34700,4154.23600
2022-04-30,2152.73600,369.13000,75.51100,2733.05800,316.30900,28.66500,510.17300,21.66800,1102.77700,3835.83500,1497.10300,739.88900,16.25000,1221.73500,2718.83800,0.11600,-996.44100,-4.18800,1116.99700,3835.83500
2022-01-31,1996.63300,368.14500,79.35200,2570.95200,260.57700,23.63200,513.78100,25.34600,1047.42900,3618.38100,1406.83000,739.51700,16.19300,1173.90800,2580.73800,0.11500,-964.91800,-1.24000,1037.64300,3618.38100
2021-10-31,1907.50800,283.27200,60.67000,2360.08600,242.22400,22.66500,456.75900,21.68100,939.53100,3299.61700,1241.54700,739.14500,17.83500,1098.50000,2340.04700,0.11500,-922.93800,0.88500,959.57000,3299.61700
2021-07-31,1787.05100,266.54000,102.96400,2252.02500,215.83200,14.16500,459.89000,18.83600,884.02000,3136.04500,1136.82800,738.77200,38.27800,1087.81600,2224.64400,0.11400,-872.48300,1.55000,911.40100,3136.04500
2021-04-30,1684.99700,211.23300,56.38500,2038.00300,191.31000,8.16500,463.43200,18.18600,843.16790,2881.17100,982.76500,738.40000,39.95300,1045.00900,2027.77400,0.11300,-815.16500,2.11700,853.39700,2881.17100
2021-01-31,1918.60800,239.19900,53.61700,2292.27400,167.01400,2.50000,99.24300,17.11200,440.25900,2732.53300,863.55300,738.02900,17.18400,997.10600,1860.65900,0.11200,-730.11600,2.31900,871.87400,2732.53300
2020-10-31,1059.92600,172.77500,45.67300,1340.79600,162.37100,2.50000,99.48800,14.39300,408.71300,1749.50900,702.03900,,15.67600,232.68500,934.72400,0.11100,-711.11400,0.61500,814.78500,1749.50900
2020-07-31,1064.73400,149.23600,48.17400,1315.98100,153.30300,2.00000,8.47800,15.55000,300.97100,1616.95200,603.29200,,10.75200,221.64500,824.93700,0.11000,-686.58300,1.11500,792.01500,1616.95200
2020-04-30,1004.99100,144.18700,45.87400,1248.46200,139.09600,1.00000,8.07100,17.12100,270.93400,1519.39600,555.64400,,7.28800,210.59900,766.24300,1409.75800,-656.70900,-1.00400,753.15300,1519.39600
2020-01-31,912.06400,164.98700,51.61400,1171.63600,136.07800,1.00000,8.24900,16.70800,233.27000,1404.90600,493.09600,,11.02000,169.20300,662.29900,0.10600,-637.48700,1.00900,742.60700,1404.90600
2019-10-31,833.68800,145.69400,37.91400,1053.22000,129.50400,,8.43100,6.63900,202.83400,1256.05400,415.60400,,11.57000,123.40800,539.01200,0.10300,-609.07900,-0.09800,717.04200,1256.05400
2019-07-31,826.81100,115.25600,29.34800,1005.43200,107.98900,,8.51800,7.88100,166.15400,1171.58600,341.78100,,11.89700,101.70800,443.48900,0.10300,-573.57400,-0.53000,728.09700,1171.58600
2019-04-30,175.05900,87.35500,22.64400,311.25100,86.34900,,8.68800,13.06900,146.11000,457.36100,302.72100,,10.96400,81.90500,384.62600,0.02400,-521.68500,-0.18600,72.73500,457.36100
2019-01-31,191.65500,92.47600,18.41000,331.38800,73.73500,,8.99500,9.18300,101.83100,433.21900,281.42000,,10.31300,81.68000,363.10000,0.02400,-519.12600,0.09800,70.11900,433.21900
2018-10-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2018-07-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2018-04-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2018-01-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
