,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,15202.00000,1865.00000,13337.00000,7595.00000,7595.00000,5742.00000,5742.00000,1350.00000,4392.00000,4392.00000,4304.00000,277.00000,278.00000,15.52000,15.50000
2021-12-31,13221.00000,1134.00000,12087.00000,5023.00000,5023.00000,7064.00000,7064.00000,1615.00000,5449.00000,5449.00000,5351.00000,300.00000,300.00000,17.85000,17.83000
2020-12-31,12953.00000,1865.00000,11088.00000,9653.00000,9653.00000,1435.00000,1435.00000,294.00000,1141.00000,1141.00000,1104.00000,307.00000,307.00000,3.60000,3.60000
2019-12-31,13989.00000,2530.00000,11459.00000,7624.00000,7624.00000,3835.00000,3835.00000,878.00000,2957.00000,2957.00000,2908.00000,320.00000,320.00000,9.09000,9.08000
2018-12-31,12848.00000,2139.00000,10709.00000,7112.00000,7112.00000,3597.00000,3597.00000,855.00000,2742.00000,2742.00000,2689.00000,344.00000,345.00000,7.81000,7.79000
2017-12-31,11545.00000,1648.00000,9897.00000,6360.00000,6360.00000,3537.00000,3537.00000,1438.00000,2099.00000,2099.00000,2031.00000,374.00000,374.00000,5.43000,5.42000
2016-12-31,10497.00000,1398.00000,9099.00000,5443.00000,5443.00000,3656.00000,3656.00000,1263.00000,2393.00000,2393.00000,2339.00000,405.00000,406.00000,5.77000,5.77000
2015-12-31,10002.00000,1263.00000,8739.00000,5127.00000,5127.00000,3612.00000,3612.00000,1315.00000,2297.00000,2297.00000,2246.00000,437.00000,438.00000,5.14000,5.13000
2014-12-31,9611.00000,1134.00000,8477.00000,4783.00000,4783.00000,3694.00000,3694.00000,1371.00000,2323.00000,2323.00000,2270.00000,462.00000,463.00000,4.91000,4.90000
2013-12-31,9370.00000,1146.00000,8224.00000,4280.00000,4280.00000,3944.00000,3944.00000,1474.00000,2470.00000,2470.00000,2414.00000,485.49200,486.86100,4.97000,4.96000
2012-12-31,,,,,,,,,,,,,,,0.00000
2012-11-30,8984.00000,1331.00000,7653.00000,3900.00000,3900.00000,3753.00000,3753.00000,1408.00000,2345.00000,2345.00000,2318.00000,519.00000,520.00000,4.47000,4.46000
2011-11-30,8550.00000,1485.00000,7065.00000,3554.00000,3554.00000,3511.00000,3511.00000,1284.00000,2227.00000,2227.00000,2202.00000,542.00000,543.00000,4.06000,4.06000
2010-11-30,8241.00000,1583.00000,6658.00000,5389.00000,5389.00000,1269.00000,1269.00000,504.00000,765.00000,765.00000,668.00000,544.00000,549.00000,1.23000,1.22000
2009-11-30,7985.67500,1251.28400,6734.39100,4613.49300,4613.49300,2120.89800,2120.89800,844.71300,1276.18500,1276.18500,1276.18500,504.55000,507.90700,2.39000,2.38000
