,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,24875.00000,10526.00000,14349.00000,-1288.00000,4432.00000,9917.00000,-845.00000,9072.00000,2074.00000,6998.00000,6998.00000,6998.00000,12163.00000,9917.00000,622.70000,624.00000,11.24000,11.21000
2021-12-31,21804.00000,8223.00000,13581.00000,-1176.00000,4243.00000,9338.00000,-860.00000,8478.00000,1955.00000,6523.00000,6523.00000,6523.00000,11546.00000,9338.00000,653.80000,655.40000,9.98000,9.95000
2020-12-31,19533.00000,7269.00000,12264.00000,-1345.00000,4430.00000,7834.00000,-854.00000,6980.00000,1631.00000,5349.00000,5349.00000,5349.00000,10044.00000,7834.00000,677.30000,679.10000,7.90000,7.88000
2019-12-31,21708.00000,8894.00000,12814.00000,-1060.00000,4260.00000,8554.00000,-807.00000,7747.00000,1828.00000,5919.00000,5919.00000,5919.00000,10770.00000,8554.00000,703.50000,706.10000,8.41000,8.38000
2018-12-31,22832.00000,10030.00000,12802.00000,-1022.00000,4285.00000,8517.00000,-776.00000,7741.00000,1775.00000,5966.00000,5966.00000,5966.00000,10708.00000,8517.00000,750.90000,754.30000,7.95000,7.91000
2017-12-31,21240.00000,9193.00000,12047.00000,-948.00000,3941.00000,8106.00000,-474.00000,7632.00000,-3080.00000,10712.00000,10712.00000,10712.00000,10211.00000,8106.00000,798.40000,801.70000,13.42000,13.36000
2016-12-31,19941.00000,8526.00000,11415.00000,-997.00000,4172.00000,7243.00000,-477.00000,6766.00000,2533.00000,4233.00000,4233.00000,4233.00000,9281.00000,7243.00000,832.40000,835.40000,5.09000,5.07000
2015-12-31,21813.00000,9595.00000,12218.00000,-924.00000,4166.00000,8052.00000,-396.00000,7656.00000,2884.00000,4772.00000,4772.00000,4772.00000,10064.00000,8052.00000,866.20000,869.40000,5.51000,5.49000
2014-12-31,23988.00000,11173.00000,12815.00000,-924.00000,4062.00000,8753.00000,-410.00000,8343.00000,3163.00000,5180.00000,5180.00000,5180.00000,10657.00000,8753.00000,897.10000,901.10000,5.77000,5.75000
2013-12-31,21963.00000,10656.00000,11307.00000,-849.00000,3861.00000,7446.00000,-398.00000,7048.00000,2660.00000,4388.00000,4388.00000,4388.00000,9223.00000,7446.00000,926.50000,931.50000,4.74000,4.71000
2012-12-31,20926.00000,10436.00000,10490.00000,-788.00000,3745.00000,6745.00000,-427.00000,6318.00000,2375.00000,3943.00000,3943.00000,3943.00000,8505.00000,6745.00000,946.20000,952.90000,4.17000,4.14000
2011-12-31,19557.00000,10267.00000,9290.00000,-782.00000,3566.00000,5724.00000,-460.00000,5264.00000,1972.00000,3292.00000,3292.00000,3292.00000,7341.00000,5724.00000,971.40000,979.60000,3.39000,3.36000
2010-12-31,16965.00000,8636.00000,8329.00000,-719.00000,3348.00000,4981.00000,-548.00000,4433.00000,1653.00000,2780.00000,2780.00000,2780.00000,6468.00000,4981.00000,996.40000,1005.80000,2.79000,2.76500
2009-12-31,14143.00000,7470.00000,6673.00000,-687.00000,3294.00000,3379.00000,-405.00000,2974.00000,1084.00000,1890.00000,1890.00000,1890.00000,4806.00000,3379.00000,1006.00000,1011.60000,1.88000,1.87000
